Date,transactionvalue14varUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,6.006
2010/07/31,5.919
2010/08/01,117.838
2010/08/02,118.304
2010/08/03,118.397
2010/08/04,118.402
2010/08/05,118.8
2010/08/06,118.577
2010/08/07,117.399
2010/08/08,117.217
2010/08/09,118.305
2010/08/10,117.585
2010/08/11,115.152
2010/08/12,113.196
2010/08/13,113
2010/08/14,113.76
2010/08/15,8.398
2010/08/16,8.426
2010/08/17,10.083
2010/08/18,10.038
2010/08/19,10.139
2010/08/20,9.733
2010/08/21,9.853
2010/08/22,8.794
2010/08/23,6.722
2010/08/24,6.853
2010/08/25,6.494
2010/08/26,6.586
2010/08/27,6.669
2010/08/28,6.438
2010/08/29,6.902
2010/08/30,5.423
2010/08/31,2.732
2010/09/01,2.232
2010/09/02,2.709
2010/09/03,2.847
2010/09/04,2.57
2010/09/05,37.797
2010/09/06,44.829
2010/09/07,44.671
2010/09/08,44.479
2010/09/09,42.977
2010/09/10,44.515
2010/09/11,45.171
2010/09/12,44.61
2010/09/13,49.049
2010/09/14,49.554
2010/09/15,49.175
2010/09/16,49.725
2010/09/17,50.726
2010/09/18,50.776
2010/09/19,23.101
2010/09/20,15.559
2010/09/21,16.349
2010/09/22,16.029
2010/09/23,18.362
2010/09/24,18.372
2010/09/25,17.625
2010/09/26,17.404
2010/09/27,10.026
2010/09/28,11.256
2010/09/29,11.245
2010/09/30,11.171
2010/10/01,8.205
2010/10/02,109.019
2010/10/03,109.955
2010/10/04,478.391
2010/10/05,485.455
2010/10/06,473.729
2010/10/07,474.105
2010/10/08,465.171
2010/10/09,466.75
2010/10/10,439.192
2010/10/11,412.223
2010/10/12,395.813
2010/10/13,362.891
2010/10/14,353.297
2010/10/15,313.221
2010/10/16,313.813
2010/10/17,285.465
2010/10/18,109.11
2010/10/19,110.079
2010/10/20,98.125
2010/10/21,93.135
2010/10/22,100.655
2010/10/23,130.328
