Date,transactionvalue14emaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,4.279
2010/07/31,4.172
2010/08/01,9.656
2010/08/02,9.673
2010/08/03,8.883
2010/08/04,8.308
2010/08/05,7.829
2010/08/06,7.214
2010/08/07,6.992
2010/08/08,6.271
2010/08/09,7.039
2010/08/10,7.017
2010/08/11,7.21
2010/08/12,6.617
2010/08/13,6.328
2010/08/14,5.814
2010/08/15,5.512
2010/08/16,6.088
2010/08/17,6.696
2010/08/18,6.716
2010/08/19,6.384
2010/08/20,6.149
2010/08/21,6.323
2010/08/22,5.967
2010/08/23,5.592
2010/08/24,5.329
2010/08/25,4.999
2010/08/26,4.665
2010/08/27,4.883
2010/08/28,4.654
2010/08/29,4.317
2010/08/30,4.105
2010/08/31,4.311
2010/09/01,4.366
2010/09/02,4.682
2010/09/03,4.818
2010/09/04,5.079
2010/09/05,8.05
2010/09/06,9.23
2010/09/07,8.528
2010/09/08,7.818
2010/09/09,7.635
2010/09/10,6.939
2010/09/11,6.294
2010/09/12,5.859
2010/09/13,7.302
2010/09/14,6.919
2010/09/15,6.757
2010/09/16,6.508
2010/09/17,7.307
2010/09/18,7.208
2010/09/19,7.434
2010/09/20,7.182
2010/09/21,6.512
2010/09/22,6.194
2010/09/23,6.972
2010/09/24,6.362
2010/09/25,5.98
2010/09/26,5.647
2010/09/27,5.353
2010/09/28,6.013
2010/09/29,6.008
2010/09/30,6.146
2010/10/01,6.151
2010/10/02,11.3
2010/10/03,11.435
2010/10/04,21.066
2010/10/05,22.532
2010/10/06,22.002
2010/10/07,22.32
2010/10/08,23.671
2010/10/09,25.972
2010/10/10,26.631
2010/10/11,25.07
2010/10/12,24.52
2010/10/13,25.373
2010/10/14,28.664
2010/10/15,30.945
2010/10/16,32.841
2010/10/17,31.691
2010/10/18,32.61
2010/10/19,32.038
2010/10/20,31.481
2010/10/21,31.878
2010/10/22,30.645
2010/10/23,27.747
