Date,size7mom
2010/07/17,389.517
2010/07/18,342.553
2010/07/19,-75.404
2010/07/20,545.333
2010/07/21,-2224
2010/07/22,-299.393
2010/07/23,-83.658
2010/07/24,795.897
2010/07/25,2379
2010/07/26,162.338
2010/07/27,-305.436
2010/07/28,2801
2010/07/29,1878
2010/07/30,91.109
2010/07/31,-1056
2010/08/01,-2794
2010/08/02,-561.99
2010/08/03,64.628
2010/08/04,-2936
2010/08/05,-1523
2010/08/06,137.853
2010/08/07,170.27
2010/08/08,97.163
2010/08/09,1127
2010/08/10,-349.082
2010/08/11,7.809
2010/08/12,-468.102
2010/08/13,80.222
2010/08/14,-148.764
2010/08/15,-125.244
2010/08/16,-514.286
2010/08/17,199.71
2010/08/18,1509
2010/08/19,163.845
2010/08/20,-241.51
2010/08/21,47.212
2010/08/22,68.605
2010/08/23,-561.77
2010/08/24,160.598
2010/08/25,-1590
2010/08/26,-61.104
2010/08/27,-120.84
2010/08/28,68.043
2010/08/29,-58.865
2010/08/30,183.375
2010/08/31,140.739
2010/09/01,479.134
2010/09/02,45.427
2010/09/03,32.177
2010/09/04,-198.05
2010/09/05,132.448
2010/09/06,-165.603
2010/09/07,-509.083
2010/09/08,-333.786
2010/09/09,106.752
2010/09/10,54.033
2010/09/11,96.286
2010/09/12,154.284
2010/09/13,270.957
2010/09/14,130.539
2010/09/15,206.863
2010/09/16,-163.151
2010/09/17,165.335
2010/09/18,-53.092
2010/09/19,-190.74
2010/09/20,-84.447
2010/09/21,957.151
2010/09/22,476.113
2010/09/23,282.057
2010/09/24,-113.341
2010/09/25,324.648
2010/09/26,75.965
2010/09/27,265.283
2010/09/28,-333.466
2010/09/29,956.322
2010/09/30,-80.674
2010/10/01,491.907
2010/10/02,1040
2010/10/03,352.81
2010/10/04,-45.071
2010/10/05,-220.933
2010/10/06,-1489
2010/10/07,-84.446
2010/10/08,-240.695
2010/10/09,-911.926
2010/10/10,-307.864
2010/10/11,-256.016
2010/10/12,-302.329
2010/10/13,159.032
2010/10/14,-99.698
2010/10/15,-332.663
2010/10/16,-335.943
2010/10/17,-143.096
2010/10/18,78.098
2010/10/19,465.793
2010/10/20,-1.045
2010/10/21,403.089
2010/10/22,730.754
2010/10/23,333.557
2010/10/24,300.671
2010/10/25,-77.693
2010/10/26,-528.709
2010/10/27,40.674
2010/10/28,-243.73
2010/10/29,-532.67
2010/10/30,-426.755
2010/10/31,-247.042
2010/11/01,-75.719
2010/11/02,-186.485
2010/11/03,-387.886
2010/11/04,-214.457
2010/11/05,-24.19
2010/11/06,52.86
2010/11/07,-12.933
2010/11/08,263.285
2010/11/09,97.18
2010/11/10,27.577
2010/11/11,-3.36
2010/11/12,-237.799
2010/11/13,-82.938
2010/11/14,32.77
2010/11/15,7942
2010/11/16,10407
2010/11/17,-44.025
2010/11/18,865.017
2010/11/19,14113
2010/11/20,18606
2010/11/21,15874
2010/11/22,-8159
2010/11/23,-10200
2010/11/24,4996
2010/11/25,8142
2010/11/26,-12667
2010/11/27,-18306
2010/11/28,-15719
2010/11/29,64.201
2010/11/30,-107.827
2010/12/01,-4631
2010/12/02,-8821
2010/12/03,-1228
2010/12/04,-165.739
2010/12/05,-226.092
2010/12/06,-189.03
2010/12/07,107.396
2010/12/08,-246.021
2010/12/09,-45.665
2010/12/10,18.73
2010/12/11,383.324
2010/12/12,564.912
2010/12/13,1251
2010/12/14,281.454
2010/12/15,295.399
2010/12/16,234.397
2010/12/17,281.878
2010/12/18,-91.154
2010/12/19,-20.52
2010/12/20,-64.83
2010/12/21,-101.37
2010/12/22,309.143
2010/12/23,233.309
2010/12/24,14.674
2010/12/25,124.559
2010/12/26,112.524
2010/12/27,-583.111
2010/12/28,180.962
2010/12/29,-247.448
2010/12/30,-65.804
2010/12/31,-49.601
2011/01/01,113.637
2011/01/02,-122.376
2011/01/03,1377
2011/01/04,664.155
2011/01/05,1477
2011/01/06,488.999
2011/01/07,725.442
2011/01/08,1169
2011/01/09,1121
2011/01/10,-194.064
2011/01/11,527.669
2011/01/12,-537.244
2011/01/13,477.902
2011/01/14,370.468
2011/01/15,-362.005
2011/01/16,-454.301
2011/01/17,-952.88
2011/01/18,-458.981
2011/01/19,-225.938
2011/01/20,-598.03
2011/01/21,138.876
2011/01/22,1234
2011/01/23,526.151
2011/01/24,976.797
2011/01/25,-191.674
2011/01/26,-7.426
2011/01/27,445.768
2011/01/28,-90.265
2011/01/29,-138.247
2011/01/30,4212
2011/01/31,724.367
2011/02/01,925.499
2011/02/02,206.741
2011/02/03,-344.312
2011/02/04,-570.52
2011/02/05,-1448
2011/02/06,-4672
2011/02/07,-1715
2011/02/08,-1016
2011/02/09,48.562
2011/02/10,2155
2011/02/11,2318
2011/02/12,1494
2011/02/13,988.218
2011/02/14,2448
2011/02/15,1398
2011/02/16,649.39
2011/02/17,-758.13
2011/02/18,-535.278
2011/02/19,30.994
2011/02/20,131.737
2011/02/21,-888.237
2011/02/22,251.201
2011/02/23,267.709
2011/02/24,278.943
2011/02/25,-504.137
2011/02/26,-855.281
2011/02/27,67.614
2011/02/28,870.287
2011/03/01,3561
2011/03/02,967.663
2011/03/03,1852
2011/03/04,332.282
2011/03/05,802.663
2011/03/06,-587.931
2011/03/07,-735.02
2011/03/08,-2311
2011/03/09,129.505
2011/03/10,-118.23
2011/03/11,1683
2011/03/12,3083
2011/03/13,4440
2011/03/14,4585
2011/03/15,3781
2011/03/16,3014
2011/03/17,1762
2011/03/18,1390
2011/03/19,1965
2011/03/20,3430
2011/03/21,3143
2011/03/22,-2216
2011/03/23,2235
2011/03/24,-1514
2011/03/25,-1889
2011/03/26,64.003
2011/03/27,-3566
2011/03/28,-4365
2011/03/29,-369.752
2011/03/30,-5082
2011/03/31,-1244
2011/04/01,-807.239
2011/04/02,-4604
2011/04/03,-3123
2011/04/04,-1744
2011/04/05,-1736
2011/04/06,383.672
2011/04/07,164.703
2011/04/08,632.924
2011/04/09,475.158
2011/04/10,330.501
2011/04/11,122.556
2011/04/12,1695
2011/04/13,329.296
2011/04/14,2208
2011/04/15,2957
2011/04/16,2144
2011/04/17,743.252
2011/04/18,2661
2011/04/19,2621
2011/04/20,4266
2011/04/21,-1646
2011/04/22,-2679
2011/04/23,-669.912
2011/04/24,1190
2011/04/25,-1418
2011/04/26,-1721
2011/04/27,1553
2011/04/28,2874
2011/04/29,2328
2011/04/30,4102
2011/05/01,3591
2011/05/02,-201.732
2011/05/03,-399.612
2011/05/04,-4685
2011/05/05,-881.207
2011/05/06,-603.149
2011/05/07,-3202
2011/05/08,-4017
2011/05/09,369.828
2011/05/10,1869
2011/05/11,1155
2011/05/12,1770
2011/05/13,3264
2011/05/14,1293
2011/05/15,2383
2011/05/16,1854
2011/05/17,-573.509
2011/05/18,1064
2011/05/19,3140
2011/05/20,52.042
2011/05/21,1320
2011/05/22,406.946
2011/05/23,156.357
2011/05/24,257.719
2011/05/25,364.684
2011/05/26,-1933
2011/05/27,1848
2011/05/28,3759
2011/05/29,2537
2011/05/30,6171
2011/05/31,9485
2011/06/01,6023
2011/06/02,6484
2011/06/03,8744
2011/06/04,3991
2011/06/05,5075
2011/06/06,3954
2011/06/07,3948
2011/06/08,16094
2011/06/09,7427
2011/06/10,1085
2011/06/11,755.736
2011/06/12,6938
2011/06/13,3419
2011/06/14,1508
2011/06/15,-11244
2011/06/16,6635
2011/06/17,5298
2011/06/18,6778
2011/06/19,-591.804
2011/06/20,-3221
2011/06/21,-6765
2011/06/22,-2659
2011/06/23,-13317
2011/06/24,-6518
2011/06/25,3738
2011/06/26,6726
2011/06/27,13922
2011/06/28,12171
2011/06/29,7340
2011/06/30,4294
2011/07/01,6563
2011/07/02,-6111
2011/07/03,-8135
2011/07/04,-8579
2011/07/05,879.305
2011/07/06,6062
2011/07/07,8001
2011/07/08,-4526
2011/07/09,905.057
2011/07/10,7951
2011/07/11,3386
2011/07/12,-4167
2011/07/13,-10347
2011/07/14,-2817
2011/07/15,-1584
2011/07/16,776.219
2011/07/17,-7115
2011/07/18,-226.892
2011/07/19,4567
2011/07/20,6098
2011/07/21,-2042
2011/07/22,4952
2011/07/23,-1141
2011/07/24,120.636
2011/07/25,-730.889
2011/07/26,-7765
2011/07/27,-5018
2011/07/28,-259.536
2011/07/29,-6588
2011/07/30,-5334
2011/07/31,-1950
2011/08/01,-3701
2011/08/02,3584
2011/08/03,1266
2011/08/04,3062
2011/08/05,3546
2011/08/06,8938
2011/08/07,2705
2011/08/08,4632
2011/08/09,3060
2011/08/10,880.999
2011/08/11,-4469
2011/08/12,29.33
2011/08/13,-1933
2011/08/14,3590
2011/08/15,2541
2011/08/16,-538.969
2011/08/17,2545
2011/08/18,-650.4
2011/08/19,4732
2011/08/20,-3618
2011/08/21,-5719
2011/08/22,-8889
2011/08/23,-6989
2011/08/24,-1975
2011/08/25,1522
2011/08/26,-4078
2011/08/27,4436
2011/08/28,937.811
2011/08/29,3991
2011/08/30,1134
2011/08/31,-4533
2011/09/01,304.954
2011/09/02,-4593
2011/09/03,-7822
2011/09/04,18929
2011/09/05,-5014
2011/09/06,1389
2011/09/07,3234
2011/09/08,-1884
2011/09/09,7083
2011/09/10,4707
2011/09/11,-16709
2011/09/12,3398
2011/09/13,-4163
2011/09/14,-4313
2011/09/15,-3685
2011/09/16,-3323
2011/09/17,-4716
2011/09/18,-7725
2011/09/19,1048
2011/09/20,9112
2011/09/21,7632
2011/09/22,-241.452
2011/09/23,-2017
2011/09/24,3719
2011/09/25,3332
2011/09/26,-6248
2011/09/27,-8225
2011/09/28,-8800
2011/09/29,64.306
2011/09/30,-320.021
2011/10/01,-4646
2011/10/02,-1746
2011/10/03,12.282
2011/10/04,2753
2011/10/05,106.54
2011/10/06,2250
2011/10/07,-1902
2011/10/08,2999
2011/10/09,891.898
2011/10/10,1655
2011/10/11,6374
2011/10/12,4603
2011/10/13,1634
2011/10/14,1043
2011/10/15,-1784
2011/10/16,-131.34
2011/10/17,3085
2011/10/18,-11282
2011/10/19,-5012
2011/10/20,-5655
2011/10/21,-2726
2011/10/22,4645
2011/10/23,2952
2011/10/24,-3510
2011/10/25,-770.831
2011/10/26,2459
2011/10/27,2941
2011/10/28,5172
2011/10/29,-342.574
2011/10/30,-2517
2011/10/31,-3380
2011/11/01,-1544
2011/11/02,-3727
2011/11/03,159.74
2011/11/04,-2446
2011/11/05,-4579
2011/11/06,-5208
2011/11/07,2154
2011/11/08,2591
2011/11/09,1691
2011/11/10,426.38
2011/11/11,-5.834
2011/11/12,-1779
2011/11/13,1471
2011/11/14,355.452
2011/11/15,-1628
2011/11/16,2448
2011/11/17,-3634
2011/11/18,-2304
2011/11/19,1401
2011/11/20,2116
2011/11/21,-1839
2011/11/22,464.161
2011/11/23,-2458
2011/11/24,3940
2011/11/25,265.097
2011/11/26,576.03
2011/11/27,1184
2011/11/28,3569
2011/11/29,4938
2011/11/30,3456
2011/12/01,-3839
2011/12/02,1649
2011/12/03,-965.983
2011/12/04,-1194
2011/12/05,-3625
2011/12/06,-1976
2011/12/07,-934.129
2011/12/08,572.078
2011/12/09,-2460
2011/12/10,126.04
2011/12/11,687.86
2011/12/12,2476
2011/12/13,-1166
2011/12/14,-3792
2011/12/15,384.481
2011/12/16,3788
2011/12/17,-1953
2011/12/18,-4097
2011/12/19,-1672
2011/12/20,6326
2011/12/21,646.467
2011/12/22,76.055
2011/12/23,-3230
2011/12/24,-1171
2011/12/25,-579.23
2011/12/26,-3571
2011/12/27,-8841
2011/12/28,-1967
2011/12/29,-514.548
2011/12/30,-1684
2011/12/31,2881
2012/01/01,4183
2012/01/02,5380
2012/01/03,2079
2012/01/04,4993
2012/01/05,7873
2012/01/06,6796
2012/01/07,458.075
2012/01/08,3348
2012/01/09,1271
2012/01/10,11459
2012/01/11,8166
2012/01/12,-4474
2012/01/13,7.72
2012/01/14,3271
