Date,transactionvalue3smaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,5.609
2010/07/20,5.948
2010/07/21,5.397
2010/07/22,4.999
2010/07/23,4.631
2010/07/24,4.051
2010/07/25,2.349
2010/07/26,4.692
2010/07/27,5.193
2010/07/28,5.423
2010/07/29,2.354
2010/07/30,2.277
2010/07/31,2.749
2010/08/01,17.629
2010/08/02,19.519
2010/08/03,19.611
2010/08/04,6.034
2010/08/05,4.346
2010/08/06,4.168
2010/08/07,4.493
2010/08/08,3.449
2010/08/09,6.388
2010/08/10,6.831
2010/08/11,9.123
2010/08/12,6.033
2010/08/13,5.225
2010/08/14,3.229
2010/08/15,3.492
2010/08/16,5.284
2010/08/17,8.01
2010/08/18,9.107
2010/08/19,7.24
2010/08/20,5.23
2010/08/21,5.435
2010/08/22,5.245
2010/08/23,4.755
2010/08/24,3.474
2010/08/25,3.209
2010/08/26,2.989
2010/08/27,3.883
2010/08/28,3.985
2010/08/29,3.864
2010/08/30,2.674
2010/08/31,3.502
2010/09/01,4.367
2010/09/02,5.702
2010/09/03,5.72
2010/09/04,6.402
2010/09/05,13.28
2010/09/06,17.013
2010/09/07,16.077
2010/09/08,8.023
2010/09/09,4.537
2010/09/10,4.021
2010/09/11,3.655
2010/09/12,2.516
2010/09/13,7.272
2010/09/14,8.048
2010/09/15,8.94
2010/09/16,5.007
2010/09/17,7.698
2010/09/18,7.984
2010/09/19,9.322
2010/09/20,7.004
2010/09/21,5.534
2010/09/22,3.945
2010/09/23,6.102
2010/09/24,6.185
2010/09/25,5.973
2010/09/26,3.127
2010/09/27,3.474
2010/09/28,5.742
2010/09/29,6.572
2010/09/30,7.775
2010/10/01,6.401
2010/10/02,19.333
2010/10/03,21.087
2010/10/04,46.916
2010/10/05,42.679
2010/10/06,44.761
2010/10/07,25.001
2010/10/08,25.132
2010/10/09,32.59
2010/10/10,34.767
2010/10/11,28.921
2010/10/12,22.261
2010/10/13,22.261
2010/10/14,33.973
2010/10/15,42.247
2010/10/16,46.996
2010/10/17,38.384
2010/10/18,35.989
2010/10/19,30.373
2010/10/20,31.589
2010/10/21,30.213
