Date,mining_profitability3rsi
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,86.826
2010/07/21,88.187
2010/07/22,52.638
2010/07/23,49.118
2010/07/24,52.29
2010/07/25,48.296
2010/07/26,34.3
2010/07/27,15.105
2010/07/28,39.561
2010/07/29,55.357
2010/07/30,53.608
2010/07/31,65.683
2010/08/01,45.905
2010/08/02,31.599
2010/08/03,24.948
2010/08/04,55.124
2010/08/05,25.465
2010/08/06,13.461
2010/08/07,37.775
2010/08/08,45.944
2010/08/09,40.253
2010/08/10,55.446
2010/08/11,53.674
2010/08/12,47.399
2010/08/13,30.012
2010/08/14,74.623
2010/08/15,22.238
2010/08/16,28.662
2010/08/17,27.206
2010/08/18,43.754
2010/08/19,38.036
2010/08/20,63.532
2010/08/21,34.291
2010/08/22,51.939
2010/08/23,41.366
2010/08/24,41.161
2010/08/25,36.439
2010/08/26,33.493
2010/08/27,10.211
2010/08/28,22.865
2010/08/29,35.556
2010/08/30,33.868
2010/08/31,53.185
2010/09/01,22.337
2010/09/02,46.276
2010/09/03,49.332
2010/09/04,60.017
2010/09/05,33.085
2010/09/06,36.705
2010/09/07,62.505
2010/09/08,31.067
2010/09/09,14.128
2010/09/10,57.275
2010/09/11,39.608
2010/09/12,49.179
2010/09/13,41.297
2010/09/14,64.607
2010/09/15,34.827
2010/09/16,64.033
2010/09/17,38.081
2010/09/18,52.93
2010/09/19,27.285
2010/09/20,30.294
2010/09/21,26.053
2010/09/22,45.633
2010/09/23,66.721
2010/09/24,38.019
2010/09/25,34.138
2010/09/26,50.751
2010/09/27,55.204
2010/09/28,28.648
2010/09/29,11.244
2010/09/30,31.111
2010/10/01,29.869
2010/10/02,18.119
2010/10/03,58.225
2010/10/04,57.674
2010/10/05,35.498
2010/10/06,64.966
2010/10/07,44.587
2010/10/08,64.013
2010/10/09,78.883
2010/10/10,85.395
2010/10/11,55.136
2010/10/12,56.491
2010/10/13,73.866
2010/10/14,81.748
2010/10/15,41.153
2010/10/16,70.957
2010/10/17,43.478
2010/10/18,43.104
2010/10/19,56.504
2010/10/20,50.555
2010/10/21,12.909
