Date,sentbyaddress30wma
2010/07/17,874.213
2010/07/18,863.46
2010/07/19,860.484
2010/07/20,861.839
2010/07/21,849.871
2010/07/22,835.667
2010/07/23,820.591
2010/07/24,820.609
2010/07/25,893.74
2010/07/26,874.006
2010/07/27,854.469
2010/07/28,829.529
2010/07/29,805.753
2010/07/30,776.877
2010/07/31,745.94
2010/08/01,719.346
2010/08/02,692.725
2010/08/03,682.725
2010/08/04,663.378
2010/08/05,648.559
2010/08/06,621.641
2010/08/07,586.329
2010/08/08,560.058
2010/08/09,536.968
2010/08/10,504.108
2010/08/11,475.452
2010/08/12,450.963
2010/08/13,440.135
2010/08/14,430.019
2010/08/15,413.417
2010/08/16,413.084
2010/08/17,404.301
2010/08/18,400.065
2010/08/19,390.637
2010/08/20,387.34
2010/08/21,380.742
2010/08/22,373.8
2010/08/23,368.839
2010/08/24,363.475
2010/08/25,361.374
2010/08/26,357.875
2010/08/27,350.667
2010/08/28,347.394
2010/08/29,339.725
2010/08/30,337.006
2010/08/31,338.755
2010/09/01,338.963
2010/09/02,332.269
2010/09/03,329.912
2010/09/04,323.168
2010/09/05,320.557
2010/09/06,315.781
2010/09/07,310.004
2010/09/08,308.469
2010/09/09,307.677
2010/09/10,306.791
2010/09/11,303.948
2010/09/12,307.262
2010/09/13,316.331
2010/09/14,320.729
2010/09/15,327.488
2010/09/16,329.966
2010/09/17,329.512
2010/09/18,330.43
2010/09/19,329.527
2010/09/20,338.267
2010/09/21,375.187
2010/09/22,403.323
2010/09/23,422.856
2010/09/24,433.105
2010/09/25,445.071
2010/09/26,445.146
2010/09/27,461.837
2010/09/28,463.606
2010/09/29,496.133
2010/09/30,493.056
2010/10/01,505.026
2010/10/02,513.108
2010/10/03,513.701
2010/10/04,514.058
2010/10/05,513.826
2010/10/06,512.028
2010/10/07,504.176
2010/10/08,499.009
2010/10/09,496.753
2010/10/10,491.385
2010/10/11,484.288
2010/10/12,478.542
2010/10/13,473.52
2010/10/14,467.314
2010/10/15,460.075
2010/10/16,458.316
2010/10/17,457.908
2010/10/18,467.8
2010/10/19,507.292
2010/10/20,527.576
2010/10/21,533.938
2010/10/22,545.439
2010/10/23,551.159
2010/10/24,557.492
2010/10/25,553.039
2010/10/26,558.996
2010/10/27,569.29
2010/10/28,572.905
2010/10/29,569.781
2010/10/30,562.587
2010/10/31,547.766
2010/11/01,537.101
2010/11/02,521.849
2010/11/03,512.015
2010/11/04,501.239
2010/11/05,497.684
2010/11/06,491.852
2010/11/07,487.757
2010/11/08,486.725
2010/11/09,479.527
2010/11/10,473.432
2010/11/11,465.256
2010/11/12,450.148
2010/11/13,439.4
2010/11/14,433.026
2010/11/15,666.656
2010/11/16,820.467
2010/11/17,804.133
2010/11/18,785.566
2010/11/19,764.957
2010/11/20,761.714
2010/11/21,753.243
2010/11/22,734.97
2010/11/23,717.166
2010/11/24,711.204
2010/11/25,709.389
2010/11/26,724.303
2010/11/27,713.292
2010/11/28,702.925
2010/11/29,691.877
2010/11/30,682.589
2010/12/01,678.746
2010/12/02,667.172
2010/12/03,650.843
2010/12/04,637.555
2010/12/05,623.68
2010/12/06,612.299
2010/12/07,610.48
2010/12/08,603.766
2010/12/09,593.572
2010/12/10,577.032
2010/12/11,578.385
2010/12/12,581.546
2010/12/13,584.91
2010/12/14,589.151
2010/12/15,591.125
2010/12/16,589.591
2010/12/17,587.284
2010/12/18,589.684
2010/12/19,593.703
2010/12/20,623.415
2010/12/21,635.133
2010/12/22,648.735
2010/12/23,655.544
2010/12/24,656.333
2010/12/25,670.172
2010/12/26,679.796
2010/12/27,680.273
2010/12/28,690.806
2010/12/29,689.966
2010/12/30,694.923
2010/12/31,696.181
2011/01/01,707.269
2011/01/02,708.71
2011/01/03,727.043
2011/01/04,737.146
2011/01/05,758.667
2011/01/06,762.247
2011/01/07,775.869
2011/01/08,805.748
2011/01/09,825.789
2011/01/10,848.133
2011/01/11,872.675
2011/01/12,883.396
2011/01/13,900.701
2011/01/14,914.675
2011/01/15,932.329
2011/01/16,950.389
2011/01/17,960.351
2011/01/18,971.245
2011/01/19,987.852
2011/01/20,1003
2011/01/21,1035
2011/01/22,1077
2011/01/23,1100
2011/01/24,1138
2011/01/25,1142
2011/01/26,1152
2011/01/27,1153
2011/01/28,1171
2011/01/29,1206
2011/01/30,1315
2011/01/31,1347
2011/02/01,1351
2011/02/02,1342
2011/02/03,1324
2011/02/04,1317
2011/02/05,1302
2011/02/06,1290
2011/02/07,1277
2011/02/08,1264
2011/02/09,1287
2011/02/10,1375
2011/02/11,1482
2011/02/12,1552
2011/02/13,1610
2011/02/14,1678
2011/02/15,1754
2011/02/16,1809
2011/02/17,1883
2011/02/18,1946
2011/02/19,1967
2011/02/20,2012
2011/02/21,2060
2011/02/22,2125
2011/02/23,2193
2011/02/24,2247
2011/02/25,2289
2011/02/26,2317
2011/02/27,2363
2011/02/28,2369
2011/03/01,2467
2011/03/02,2494
2011/03/03,2608
2011/03/04,2624
2011/03/05,2644
2011/03/06,2657
2011/03/07,2665
2011/03/08,2716
2011/03/09,2724
2011/03/10,2709
2011/03/11,2694
2011/03/12,2687
2011/03/13,2666
2011/03/14,2626
2011/03/15,2630
2011/03/16,2615
2011/03/17,2614
2011/03/18,2601
2011/03/19,2600
2011/03/20,2682
2011/03/21,2744
2011/03/22,2763
2011/03/23,2917
2011/03/24,2941
2011/03/25,2956
2011/03/26,3020
2011/03/27,3081
2011/03/28,3146
2011/03/29,3193
2011/03/30,3182
2011/03/31,3201
2011/04/01,3167
2011/04/02,3147
2011/04/03,3136
2011/04/04,3167
2011/04/05,3182
2011/04/06,3176
2011/04/07,3147
2011/04/08,3129
2011/04/09,3112
2011/04/10,3089
2011/04/11,3084
2011/04/12,3090
2011/04/13,3112
2011/04/14,3233
2011/04/15,3222
2011/04/16,3216
2011/04/17,3226
2011/04/18,3290
2011/04/19,3396
2011/04/20,3441
2011/04/21,3422
2011/04/22,3410
2011/04/23,3428
2011/04/24,3433
2011/04/25,3471
2011/04/26,3567
2011/04/27,3737
2011/04/28,3816
2011/04/29,3930
2011/04/30,4116
2011/05/01,4254
2011/05/02,4307
2011/05/03,4361
2011/05/04,4414
2011/05/05,4511
2011/05/06,4602
2011/05/07,4711
2011/05/08,4749
2011/05/09,4838
2011/05/10,4893
2011/05/11,4938
2011/05/12,4990
2011/05/13,5116
2011/05/14,5265
2011/05/15,5365
2011/05/16,5549
2011/05/17,5722
2011/05/18,5982
2011/05/19,6165
2011/05/20,6348
2011/05/21,6533
2011/05/22,6728
2011/05/23,6944
2011/05/24,7186
2011/05/25,7460
2011/05/26,7758
2011/05/27,7845
2011/05/28,7958
2011/05/29,8038
2011/05/30,8191
2011/05/31,8387
2011/06/01,8623
2011/06/02,8904
2011/06/03,9293
2011/06/04,9729
2011/06/05,10108
2011/06/06,10594
2011/06/07,10966
2011/06/08,11619
2011/06/09,12316
2011/06/10,12879
2011/06/11,13380
2011/06/12,14017
2011/06/13,14525
2011/06/14,15263
2011/06/15,15839
2011/06/16,16424
2011/06/17,16824
2011/06/18,17195
2011/06/19,17594
2011/06/20,17891
2011/06/21,18069
2011/06/22,18380
2011/06/23,18546
2011/06/24,18731
2011/06/25,18787
2011/06/26,18826
2011/06/27,19110
2011/06/28,19236
2011/06/29,19233
2011/06/30,19186
2011/07/01,19148
2011/07/02,18882
2011/07/03,18671
2011/07/04,18575
2011/07/05,18440
2011/07/06,18418
2011/07/07,18202
2011/07/08,17985
2011/07/09,17665
2011/07/10,17394
2011/07/11,17345
2011/07/12,17108
2011/07/13,17000
2011/07/14,16878
2011/07/15,16657
2011/07/16,16529
2011/07/17,16349
2011/07/18,16263
2011/07/19,16185
2011/07/20,16109
2011/07/21,15960
2011/07/22,15909
2011/07/23,15723
2011/07/24,15604
2011/07/25,15624
2011/07/26,15554
2011/07/27,15461
2011/07/28,15403
2011/07/29,15269
2011/07/30,14999
2011/07/31,14958
2011/08/01,14918
2011/08/02,14950
2011/08/03,14842
2011/08/04,14780
2011/08/05,14669
2011/08/06,14467
2011/08/07,14304
2011/08/08,14196
2011/08/09,14292
2011/08/10,14314
2011/08/11,14263
2011/08/12,14146
2011/08/13,14092
2011/08/14,14064
2011/08/15,14076
