Date,sentinusd3smaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,2617
2010/07/20,3000
2010/07/21,2836
2010/07/22,2344
2010/07/23,1953
2010/07/24,2092
2010/07/25,2067
2010/07/26,3214
2010/07/27,2984
2010/07/28,3490
2010/07/29,2364
2010/07/30,2193
2010/07/31,1197
2010/08/01,6283
2010/08/02,7136
2010/08/03,7604
2010/08/04,2776
2010/08/05,2288
2010/08/06,1863
2010/08/07,1699
2010/08/08,1095
2010/08/09,2397
2010/08/10,2671
2010/08/11,3625
2010/08/12,2300
2010/08/13,2286
2010/08/14,1481
2010/08/15,1493
2010/08/16,2178
2010/08/17,2953
2010/08/18,3439
2010/08/19,2447
2010/08/20,1969
2010/08/21,1960
2010/08/22,1948
2010/08/23,1684
2010/08/24,1290
2010/08/25,1192
2010/08/26,1110
2010/08/27,1271
2010/08/28,1281
2010/08/29,1159
2010/08/30,841.112
2010/08/31,1313
2010/09/01,1727
2010/09/02,2148
2010/09/03,1925
2010/09/04,1945
2010/09/05,4062
2010/09/06,5022
2010/09/07,4776
2010/09/08,2301
2010/09/09,1430
2010/09/10,1348
2010/09/11,1200
2010/09/12,886.396
2010/09/13,3021
2010/09/14,3434
2010/09/15,3869
2010/09/16,2157
2010/09/17,3036
2010/09/18,3091
2010/09/19,3430
2010/09/20,2786
2010/09/21,2494
2010/09/22,2368
2010/09/23,4133
2010/09/24,3953
2010/09/25,3646
2010/09/26,1486
2010/09/27,1776
2010/09/28,2842
2010/09/29,4313
2010/09/30,4480
2010/10/01,3997
2010/10/02,9537
2010/10/03,10227
2010/10/04,20374
2010/10/05,16863
2010/10/06,17833
2010/10/07,9246
2010/10/08,9208
2010/10/09,12162
2010/10/10,13132
2010/10/11,10906
2010/10/12,7893
2010/10/13,7910
2010/10/14,12332
2010/10/15,14879
2010/10/16,17767
2010/10/17,15332
2010/10/18,17775
2010/10/19,19858
2010/10/20,22791
2010/10/21,21684
2010/10/22,17504
2010/10/23,12417
2010/10/24,9971
2010/10/25,10982
2010/10/26,18009
2010/10/27,25506
2010/10/28,31136
2010/10/29,27881
2010/10/30,20257
2010/10/31,13255
