Date,sentinusd3rocUSD
2011/04/21,243.763
2011/04/22,-93.329
2011/04/23,-95.343
2011/04/24,-65.657
2011/04/25,-24.388
2011/04/26,17.107
2011/04/27,161.333
2011/04/28,94.83
2011/04/29,557.647
2011/04/30,184.946
2011/05/01,74.272
2011/05/02,-80.958
2011/05/03,-52.156
2011/05/04,81.548
2011/05/05,42.031
2011/05/06,53.353
2011/05/07,-18.498
2011/05/08,272.027
2011/05/09,-38.542
2011/05/10,247.953
2011/05/11,-49.945
2011/05/12,109.314
2011/05/13,20.375
2011/05/14,1275
2011/05/15,77.876
2011/05/16,-36.431
2011/05/17,-88.096
2011/05/18,-41.589
2011/05/19,-41.289
2011/05/20,31.367
2011/05/21,206.116
2011/05/22,359.52
2011/05/23,48.129
2011/05/24,-33.76
2011/05/25,-46.194
2011/05/26,11.001
2011/05/27,78.614
2011/05/28,-37.523
2011/05/29,-36.897
2011/05/30,-49.669
2011/05/31,29.631
2011/06/01,11.906
2011/06/02,53.965
2011/06/03,209.651
2011/06/04,216.118
2011/06/05,174.343
2011/06/06,91.728
2011/06/07,41.129
2011/06/08,115.312
2011/06/09,55.565
2011/06/10,119.666
2011/06/11,34.845
2011/06/12,34.18
2011/06/13,-0.111
2011/06/14,5.492
2011/06/15,169.295
2011/06/16,557.206
2011/06/17,-14.717
2011/06/18,-74.804
2011/06/19,-50.977
2011/06/20,-11.567
2011/06/21,172.516
2011/06/22,-71.33
2011/06/23,21.833
2011/06/24,44.212
2011/06/25,710.753
2011/06/26,148.907
2011/06/27,-61.787
2011/06/28,-36.528
2011/06/29,-31.666
2011/06/30,-20.535
2011/07/01,-84.918
2011/07/02,-71.591
2011/07/03,-64.324
2011/07/04,13.798
2011/07/05,-59.05
2011/07/06,-10.394
2011/07/07,-65.425
2011/07/08,-18.806
2011/07/09,277.948
2011/07/10,417.121
2011/07/11,229.975
2011/07/12,-49.473
2011/07/13,-43.833
2011/07/14,83.987
2011/07/15,-44.857
2011/07/16,-13.817
2011/07/17,-71.909
2011/07/18,429.997
2011/07/19,117.443
2011/07/20,-0.946
2011/07/21,-58.589
2011/07/22,-43.337
2011/07/23,10.41
2011/07/24,-58.874
2011/07/25,-5.116
2011/07/26,99.13
2011/07/27,135.491
2011/07/28,131.243
2011/07/29,-43.482
2011/07/30,-75.13
2011/07/31,-82.799
2011/08/01,-23.143
2011/08/02,13.948
2011/08/03,-45.607
2011/08/04,-55.372
2011/08/05,1.329
2011/08/06,-28.896
2011/08/07,-17.599
2011/08/08,60.607
2011/08/09,614.074
2011/08/10,332.497
2011/08/11,-41.899
2011/08/12,-85.484
2011/08/13,-73.803
2011/08/14,-0.714
2011/08/15,13.477
2011/08/16,32.555
2011/08/17,-24.846
2011/08/18,19.92
2011/08/19,58.078
2011/08/20,-26.711
2011/08/21,-36.819
2011/08/22,-51.411
2011/08/23,85.833
2011/08/24,121.406
2011/08/25,26.277
2011/08/26,-48.455
2011/08/27,272.105
2011/08/28,-57.736
2011/08/29,-13.592
2011/08/30,-90.741
2011/08/31,38.477
2011/09/01,26.087
2011/09/02,1.779
2011/09/03,-14.556
2011/09/04,436.342
2011/09/05,733.2
2011/09/06,1089
2011/09/07,-69.451
2011/09/08,-85.034
2011/09/09,-89.843
2011/09/10,-70.64
2011/09/11,102.25
2011/09/12,61.147
2011/09/13,60.162
2011/09/14,-68.754
2011/09/15,-59.208
2011/09/16,55.253
2011/09/17,-1.363
2011/09/18,-5.029
2011/09/19,-45.963
2011/09/20,20.535
2011/09/21,57.758
2011/09/22,-3.776
2011/09/23,-7.447
2011/09/24,-45.622
2011/09/25,-7.492
2011/09/26,-23.538
2011/09/27,66.898
2011/09/28,9.22
2011/09/29,10.275
2011/09/30,-31.627
2011/10/01,23.847
2011/10/02,1.603
2011/10/03,42.517
2011/10/04,-1.716
2011/10/05,23.706
2011/10/06,25.441
2011/10/07,-18.103
2011/10/08,-41.523
2011/10/09,-52.414
2011/10/10,-24.801
2011/10/11,13.89
2011/10/12,5.675
2011/10/13,-3.685
2011/10/14,-17.281
2011/10/15,15.38
2011/10/16,-22.967
2011/10/17,35.37
2011/10/18,-43.159
2011/10/19,-25.345
2011/10/20,-54.24
2011/10/21,65.293
2011/10/22,129.174
2011/10/23,162.845
2011/10/24,-25.415
2011/10/25,-38.74
2011/10/26,-33.67
2011/10/27,42.161
2011/10/28,41.005
2011/10/29,24.992
2011/10/30,-51.797
2011/10/31,-10.926
2011/11/01,15.997
2011/11/02,81.234
2011/11/03,-10.495
2011/11/04,-27.659
2011/11/05,-32.887
2011/11/06,-41.334
2011/11/07,-36.67
2011/11/08,291.927
2011/11/09,348.781
2011/11/10,32.827
2011/11/11,-73.62
2011/11/12,-72.934
2011/11/13,-29.067
2011/11/14,2.989
2011/11/15,0.861
2011/11/16,576.498
2011/11/17,764.559
2011/11/18,1269
2011/11/19,73.37
2011/11/20,-58.412
2011/11/21,-66.183
2011/11/22,-4.658
2011/11/23,8.249
2011/11/24,-4.942
2011/11/25,-68.541
2011/11/26,7.978
2011/11/27,23.14
2011/11/28,288.449
2011/11/29,170.147
2011/11/30,330.553
2011/12/01,-37.119
2011/12/02,62.227
2011/12/03,-45.339
2011/12/04,29.713
2011/12/05,-50.477
2011/12/06,98.713
2011/12/07,105.141
2011/12/08,62.673
2011/12/09,-71.277
2011/12/10,-80.745
2011/12/11,-80.906
2011/12/12,-61.979
2011/12/13,-69.348
2011/12/14,-62.811
2011/12/15,-42.373
2011/12/16,40.861
2011/12/17,1.705
2011/12/18,-32.585
2011/12/19,1.674
2011/12/20,80.859
2011/12/21,140.661
2011/12/22,6.607
2011/12/23,-50.115
2011/12/24,-49.735
2011/12/25,-33.347
2011/12/26,198.739
2011/12/27,140.58
2011/12/28,-8.4
2011/12/29,-27.377
2011/12/30,-60.657
2011/12/31,3.46
2012/01/01,-24.017
2012/01/02,14.655
2012/01/03,12.995
2012/01/04,26.816
2012/01/05,250.203
2012/01/06,209.874
2012/01/07,-17.445
2012/01/08,-50.978
2012/01/09,-28.647
2012/01/10,29.816
2012/01/11,7.925
2012/01/12,-20.828
2012/01/13,11.849
2012/01/14,-12.078
2012/01/15,-19.59
2012/01/16,10.598
2012/01/17,17.882
2012/01/18,15.796
2012/01/19,-20.472
2012/01/20,-16.311
2012/01/21,-25.648
2012/01/22,-41.213
2012/01/23,-27.973
2012/01/24,45.535
2012/01/25,80.267
2012/01/26,49.811
2012/01/27,-16.995
2012/01/28,-50.305
2012/01/29,-23.475
2012/01/30,-14.26
2012/01/31,38.884
2012/02/01,42.188
2012/02/02,37.724
2012/02/03,30.753
2012/02/04,-18.197
2012/02/05,-9.024
2012/02/06,-21.183
2012/02/07,-17.358
2012/02/08,-21.484
2012/02/09,-21.299
2012/02/10,7.457
2012/02/11,70.221
2012/02/12,25.155
2012/02/13,27.44
2012/02/14,177.96
2012/02/15,292.726
2012/02/16,236.709
2012/02/17,-37.267
2012/02/18,-51.67
2012/02/19,-78.787
2012/02/20,-57.7
2012/02/21,-47.095
2012/02/22,124.465
2012/02/23,77.261
2012/02/24,78.288
2012/02/25,-46.776
2012/02/26,-55.795
2012/02/27,-40.742
2012/02/28,-10.469
2012/02/29,0.698
2012/03/01,98.283
2012/03/02,63.973
2012/03/03,21.501
2012/03/04,-2.932
2012/03/05,-35.307
2012/03/06,-6.273
2012/03/07,-47.14
2012/03/08,43.55
2012/03/09,71.467
2012/03/10,1.901
2012/03/11,-27.167
2012/03/12,-2.369
2012/03/13,45.637
2012/03/14,66.879
2012/03/15,-9.012
2012/03/16,3.609
2012/03/17,-22.273
2012/03/18,-27.702
2012/03/19,-17.553
2012/03/20,-3.125
2012/03/21,30.679
2012/03/22,66.981
2012/03/23,91.499
2012/03/24,65.377
2012/03/25,-49.837
2012/03/26,-44.212
2012/03/27,-30.655
2012/03/28,87.461
2012/03/29,146.895
2012/03/30,82.333
2012/03/31,29.204
2012/04/01,-50.006
2012/04/02,-28.747
2012/04/03,-3.437
2012/04/04,22.812
2012/04/05,35.321
2012/04/06,-32.165
2012/04/07,-58.393
2012/04/08,31.942
2012/04/09,193.644
2012/04/10,167.337
2012/04/11,23.518
2012/04/12,-21.574
2012/04/13,3.366
2012/04/14,-34.064
2012/04/15,1.128
2012/04/16,98.396
2012/04/17,14.718
2012/04/18,-19.202
2012/04/19,-57.88
2012/04/20,174.505
2012/04/21,27.118
2012/04/22,45.544
2012/04/23,-74.521
2012/04/24,-43.273
2012/04/25,4.66
2012/04/26,146.823
2012/04/27,103.297
2012/04/28,-15.058
2012/04/29,-50.38
2012/04/30,-29.287
2012/05/01,20.959
2012/05/02,12.594
2012/05/03,14.789
2012/05/04,6.518
2012/05/05,12.334
2012/05/06,-48.417
2012/05/07,97.796
2012/05/08,233.72
2012/05/09,279.717
2012/05/10,-47.684
2012/05/11,-62.665
2012/05/12,35.234
2012/05/13,27.323
2012/05/14,54.82
2012/05/15,19.093
2012/05/16,139.133
2012/05/17,53.751
2012/05/18,-49.805
2012/05/19,-64.815
2012/05/20,-41.659
2012/05/21,106.289
2012/05/22,240.257
2012/05/23,-9.981
2012/05/24,-71.17
2012/05/25,-40.259
2012/05/26,169.623
2012/05/27,81.898
2012/05/28,-12.797
2012/05/29,-34.326
2012/05/30,19.241
2012/05/31,128.548
2012/06/01,-4.856
2012/06/02,-15.561
2012/06/03,-64.336
2012/06/04,58.11
2012/06/05,136.952
2012/06/06,53.66
2012/06/07,9.867
2012/06/08,26.542
2012/06/09,-43.97
2012/06/10,-32.59
2012/06/11,-45.601
2012/06/12,90.22
2012/06/13,-22.192
2012/06/14,72.016
2012/06/15,48.599
2012/06/16,78.345
2012/06/17,-69.857
2012/06/18,-27.421
2012/06/19,-46.551
2012/06/20,26.369
2012/06/21,-57.248
2012/06/22,10.891
2012/06/23,77.687
2012/06/24,79.599
2012/06/25,-23.648
2012/06/26,-44.619
2012/06/27,7.046
2012/06/28,102.479
2012/06/29,53.943
2012/06/30,-29.256
2012/07/01,-61.853
2012/07/02,-54.857
2012/07/03,2.187
2012/07/04,66.948
2012/07/05,75.07
2012/07/06,-3.341
2012/07/07,89.868
2012/07/08,-59.671
2012/07/09,62.526
2012/07/10,-45.101
2012/07/11,52.007
2012/07/12,-32.468
2012/07/13,21.309
2012/07/14,129.663
2012/07/15,0.798
2012/07/16,-9.057
2012/07/17,16.747
2012/07/18,40.755
2012/07/19,-38.638
2012/07/20,-35.638
2012/07/21,47.015
2012/07/22,38.521
2012/07/23,29.641
2012/07/24,-28.927
2012/07/25,-40.873
2012/07/26,10.808
2012/07/27,30.877
2012/07/28,78.812
2012/07/29,-53.167
2012/07/30,-57.699
2012/07/31,80.498
2012/08/01,124.262
2012/08/02,115.739
2012/08/03,-45.721
2012/08/04,-30.363
2012/08/05,20.505
2012/08/06,41.802
