Date,confirmationtime30rsi
2010/07/17,50.824
2010/07/18,50.891
2010/07/19,50.748
2010/07/20,50.259
2010/07/21,48.745
2010/07/22,50.632
2010/07/23,49.465
2010/07/24,49.774
2010/07/25,47.642
2010/07/26,47.178
2010/07/27,51.542
2010/07/28,52.111
2010/07/29,50.418
2010/07/30,50.277
2010/07/31,48.962
2010/08/01,47.291
2010/08/02,47.174
2010/08/03,47.873
2010/08/04,47.187
2010/08/05,48.431
2010/08/06,53.723
2010/08/07,52.834
2010/08/08,49.399
2010/08/09,49.961
2010/08/10,49.894
2010/08/11,47.653
2010/08/12,48.456
2010/08/13,48.567
2010/08/14,45.967
2010/08/15,49.24
2010/08/16,53.734
2010/08/17,55.688
2010/08/18,55.097
2010/08/19,54.809
2010/08/20,49.471
2010/08/21,50.805
2010/08/22,48.456
2010/08/23,48.408
2010/08/24,48.31
2010/08/25,48.26
2010/08/26,48.597
2010/08/27,51.293
2010/08/28,51.377
2010/08/29,52.095
2010/08/30,53.414
2010/08/31,50.035
2010/09/01,52.319
2010/09/02,52.418
2010/09/03,51.575
2010/09/04,50.051
2010/09/05,51.44
2010/09/06,52.13
2010/09/07,51.905
2010/09/08,51.357
2010/09/09,54.865
2010/09/10,49.996
2010/09/11,51.517
2010/09/12,49.946
2010/09/13,50.462
2010/09/14,48.078
2010/09/15,50.67
2010/09/16,47.337
2010/09/17,47.97
2010/09/18,46.56
2010/09/19,48.077
2010/09/20,48.456
2010/09/21,50.787
2010/09/22,50.608
2010/09/23,46.858
2010/09/24,47.167
2010/09/25,48.396
2010/09/26,48.527
2010/09/27,47.181
2010/09/28,48.199
2010/09/29,51.973
2010/09/30,53.867
2010/10/01,52.847
2010/10/02,60.477
2010/10/03,55.683
2010/10/04,51.773
2010/10/05,54.557
2010/10/06,50.096
2010/10/07,50.896
2010/10/08,51.384
2010/10/09,51.03
2010/10/10,49.503
2010/10/11,50.936
2010/10/12,51.282
2010/10/13,49.568
2010/10/14,47.84
2010/10/15,49.585
2010/10/16,45.93
2010/10/17,45.593
2010/10/18,46.333
2010/10/19,46.105
2010/10/20,45.853
2010/10/21,49.667
2010/10/22,52.121
2010/10/23,50.35
2010/10/24,48.519
2010/10/25,48.63
2010/10/26,46.938
2010/10/27,48.246
2010/10/28,47.958
2010/10/29,47.77
2010/10/30,46.579
2010/10/31,50.577
2010/11/01,50.725
2010/11/02,50.803
2010/11/03,49.742
2010/11/04,49.013
2010/11/05,47.981
2010/11/06,48.039
2010/11/07,46.909
2010/11/08,45.607
