Date,activeaddresses30sma
2010/07/17,848.133
2010/07/18,869.567
2010/07/19,889.333
2010/07/20,909.267
2010/07/21,924.7
2010/07/22,932.533
2010/07/23,942.6
2010/07/24,962.467
2010/07/25,1025
2010/07/26,1058
2010/07/27,1073
2010/07/28,1086
2010/07/29,1090
2010/07/30,1095
2010/07/31,1097
2010/08/01,1105
2010/08/02,1114
2010/08/03,1132
2010/08/04,1144
2010/08/05,1162
2010/08/06,1171
2010/08/07,1178
2010/08/08,1185
2010/08/09,1198
2010/08/10,1198
2010/08/11,1103
2010/08/12,1056
2010/08/13,858.5
2010/08/14,809.967
2010/08/15,767.133
2010/08/16,766.067
2010/08/17,751.967
2010/08/18,743.767
2010/08/19,729.233
2010/08/20,724.133
2010/08/21,721.767
2010/08/22,719.567
2010/08/23,709.2
2010/08/24,659.2
2010/08/25,634.567
2010/08/26,630.6
2010/08/27,624.7
2010/08/28,624.667
2010/08/29,618.233
2010/08/30,619.8
2010/08/31,623.6
2010/09/01,622.8
2010/09/02,608.433
2010/09/03,600.733
2010/09/04,588.467
2010/09/05,585.467
2010/09/06,585.367
2010/09/07,579.333
2010/09/08,571.567
2010/09/09,569.033
2010/09/10,563.7
2010/09/11,558.833
2010/09/12,554.3
2010/09/13,559.467
2010/09/14,567.433
2010/09/15,563.767
2010/09/16,570.133
2010/09/17,579.367
2010/09/18,582.433
2010/09/19,582.367
2010/09/20,588.267
2010/09/21,609.267
2010/09/22,622.133
2010/09/23,636.033
2010/09/24,646.3
2010/09/25,652.067
2010/09/26,656.267
2010/09/27,681
2010/09/28,724.633
2010/09/29,747.167
2010/09/30,743.967
2010/10/01,752.1
2010/10/02,760
2010/10/03,765.733
2010/10/04,778.3
2010/10/05,783.5
2010/10/06,789.533
2010/10/07,797.667
2010/10/08,806.6
2010/10/09,814.467
2010/10/10,817.2
2010/10/11,823.8
2010/10/12,821.633
2010/10/13,828.567
2010/10/14,827.567
2010/10/15,824.867
2010/10/16,833.133
2010/10/17,824.767
2010/10/18,837.6
2010/10/19,862.733
2010/10/20,878.667
2010/10/21,871.267
2010/10/22,869.033
2010/10/23,861.9
2010/10/24,863.367
2010/10/25,860.933
2010/10/26,869.033
2010/10/27,863.967
2010/10/28,840.6
2010/10/29,828.933
2010/10/30,829.633
2010/10/31,820.467
2010/11/01,814.367
2010/11/02,807.233
2010/11/03,798.767
2010/11/04,795.533
2010/11/05,800.3
