Date,activeaddresses90var
2011/04/17,1319760
2011/04/18,1332664
2011/04/19,1392405
2011/04/20,1391065
2011/04/21,1369790
2011/04/22,1357493
2011/04/23,1351769
2011/04/24,1340600
2011/04/25,1314311
2011/04/26,1338182
2011/04/27,1452601
2011/04/28,1473661
2011/04/29,1537437
2011/04/30,1738723
2011/05/01,1849996
2011/05/02,1849265
2011/05/03,1825196
2011/05/04,1797712
2011/05/05,1820293
2011/05/06,1821150
2011/05/07,1833175
2011/05/08,1788153
2011/05/09,1805896
2011/05/10,1828265
2011/05/11,1894343
2011/05/12,1975917
2011/05/13,2223757
2011/05/14,2413078
2011/05/15,2556227
2011/05/16,3083425
2011/05/17,3400433
2011/05/18,4089017
2011/05/19,4605174
2011/05/20,5014728
2011/05/21,5310825
2011/05/22,5605549
2011/05/23,6075431
2011/05/24,6701411
2011/05/25,7551906
2011/05/26,8343509
2011/05/27,8563714
2011/05/28,8870654
2011/05/29,9072252
2011/05/30,9556392
2011/05/31,10175245
2011/06/01,10809660
2011/06/02,11621647
2011/06/03,12932083
2011/06/04,14591468
2011/06/05,15791212
2011/06/06,17819800
2011/06/07,19176271
2011/06/08,23312867
2011/06/09,26885263
2011/06/10,29534132
2011/06/11,31905468
2011/06/12,35381593
2011/06/13,38295337
2011/06/14,42712929
2011/06/15,46008054
2011/06/16,49683452
2011/06/17,52114372
2011/06/18,54618502
2011/06/19,57638355
2011/06/20,59765056
2011/06/21,61830322
2011/06/22,64091061
2011/06/23,65439234
2011/06/24,67037586
2011/06/25,67829639
2011/06/26,68854375
2011/06/27,71826414
2011/06/28,73081111
2011/06/29,73796262
2011/06/30,74017804
2011/07/01,76184006
2011/07/02,79033600
2011/07/03,78928505
2011/07/04,78939328
2011/07/05,78706543
2011/07/06,79129946
2011/07/07,78571422
2011/07/08,78244021
2011/07/09,77427918
2011/07/10,78027552
2011/07/11,77809610
2011/07/12,77030084
2011/07/13,77304976
2011/07/14,77443670
2011/07/15,76772453
2011/07/16,75677888
2011/07/17,74908475
2011/07/18,74895331
