Date,sentinusd7wmaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,2218
2010/07/24,2280
2010/07/25,2282
2010/07/26,2817
2010/07/27,2642
2010/07/28,3026
2010/07/29,2646
2010/07/30,2341
2010/07/31,1952
2010/08/01,5483
2010/08/02,5365
2010/08/03,4907
2010/08/04,4322
2010/08/05,3915
2010/08/06,3146
2010/08/07,2474
2010/08/08,1559
2010/08/09,2323
2010/08/10,2364
2010/08/11,2694
2010/08/12,2372
2010/08/13,2402
2010/08/14,2082
2010/08/15,1793
2010/08/16,2294
2010/08/17,2579
2010/08/18,2624
2010/08/19,2400
2010/08/20,2312
2010/08/21,2384
2010/08/22,2100
2010/08/23,1765
2010/08/24,1595
2010/08/25,1415
2010/08/26,1259
2010/08/27,1353
2010/08/28,1256
2010/08/29,1081
2010/08/30,1021
2010/08/31,1368
2010/09/01,1501
2010/09/02,1700
2010/09/03,1768
2010/09/04,1847
2010/09/05,3561
2010/09/06,4038
2010/09/07,3485
2010/09/08,2972
2010/09/09,2735
2010/09/10,2196
2010/09/11,1634
2010/09/12,1242
2010/09/13,2645
2010/09/14,2606
2010/09/15,2684
2010/09/16,2635
2010/09/17,3178
2010/09/18,3116
2010/09/19,3120
2010/09/20,2906
2010/09/21,2651
2010/09/22,2660
2010/09/23,3931
2010/09/24,3329
2010/09/25,3010
2010/09/26,2602
2010/09/27,2426
2010/09/28,3014
2010/09/29,3672
2010/09/30,3413
2010/10/01,3602
2010/10/02,8410
2010/10/03,8036
2010/10/04,14900
2010/10/05,15082
2010/10/06,13934
2010/10/07,12908
2010/10/08,12551
2010/10/09,13060
2010/10/10,12481
2010/10/11,10143
2010/10/12,9406
2010/10/13,9801
2010/10/14,11843
2010/10/15,12686
2010/10/16,14639
2010/10/17,14254
2010/10/18,16694
2010/10/19,19473
2010/10/20,20006
2010/10/21,20021
2010/10/22,18663
2010/10/23,15100
2010/10/24,13854
2010/10/25,13828
2010/10/26,16263
2010/10/27,20838
2010/10/28,24744
2010/10/29,23725
2010/10/30,21469
2010/10/31,19284
