Date,transactionvalue7stdUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,3.471
2010/07/24,3.499
2010/07/25,4.079
2010/07/26,5.256
2010/07/27,5.236
2010/07/28,5.535
2010/07/29,5.696
2010/07/30,5.691
2010/07/31,5.659
2010/08/01,29.333
2010/08/02,29.333
2010/08/03,29.401
2010/08/04,29.07
2010/08/05,28.438
2010/08/06,28.565
2010/08/07,28.302
2010/08/08,4.742
2010/08/09,6.161
2010/08/10,6.169
2010/08/11,6.427
2010/08/12,6.796
2010/08/13,6.581
2010/08/14,7.027
2010/08/15,6.514
2010/08/16,5.393
2010/08/17,6.486
2010/08/18,6.233
2010/08/19,5.902
2010/08/20,5.878
2010/08/21,5.145
2010/08/22,5.109
2010/08/23,4.949
2010/08/24,3.12
2010/08/25,2.861
2010/08/26,3.108
2010/08/27,3.501
2010/08/28,2.321
2010/08/29,2.538
2010/08/30,2.578
2010/08/31,3.057
2010/09/01,3.072
2010/09/02,3.391
2010/09/03,3.232
2010/09/04,3.423
2010/09/05,15.593
2010/09/06,15.736
2010/09/07,16.077
2010/09/08,16.411
2010/09/09,16.446
2010/09/10,17.09
2010/09/11,17.825
2010/09/12,9.729
2010/09/13,9.584
2010/09/14,9.55
2010/09/15,9.368
2010/09/16,9.373
2010/09/17,10.045
2010/09/18,9.244
2010/09/19,8.431
2010/09/20,5.287
2010/09/21,6.084
2010/09/22,6.313
2010/09/23,7.252
2010/09/24,6.61
2010/09/25,6.796
2010/09/26,6.296
2010/09/27,6.316
2010/09/28,7.144
2010/09/29,7.042
2010/09/30,5.172
2010/10/01,4.67
2010/10/02,27.424
2010/10/03,26.616
2010/10/04,54.747
2010/10/05,53.67
2010/10/06,51.473
2010/10/07,48.552
2010/10/08,43.92
2010/10/09,43.535
2010/10/10,39.803
2010/10/11,16.647
2010/10/12,16.817
2010/10/13,15.819
2010/10/14,21.659
2010/10/15,23.856
2010/10/16,24.777
2010/10/17,25.696
2010/10/18,21.017
2010/10/19,18.362
2010/10/20,19.104
2010/10/21,15.935
2010/10/22,15.133
