Date,top100cap30mom
2010/07/17,0.947
2010/07/18,0.873
2010/07/19,0.297
2010/07/20,0.207
2010/07/21,0.244
2010/07/22,0.154
2010/07/23,0.074
2010/07/24,0.03
2010/07/25,0.054
2010/07/26,0.921
2010/07/27,1.005
2010/07/28,1.011
2010/07/29,0.866
2010/07/30,0.708
2010/07/31,0.612
2010/08/01,0.533
2010/08/02,0.396
2010/08/03,0.171
2010/08/04,0.004
2010/08/05,0.094
2010/08/06,-0.043
2010/08/07,-0.025
2010/08/08,-0.031
2010/08/09,0.069
2010/08/10,0.001
2010/08/11,0.576
2010/08/12,0.716
2010/08/13,0.929
2010/08/14,0.725
2010/08/15,0.651
2010/08/16,0.689
2010/08/17,0.789
2010/08/18,0.85
2010/08/19,0.914
2010/08/20,0.923
2010/08/21,0.921
2010/08/22,1.032
2010/08/23,0.997
2010/08/24,1.059
2010/08/25,0.175
2010/08/26,0.12
2010/08/27,0.186
2010/08/28,0.088
2010/08/29,0.005
2010/08/30,0.012
2010/08/31,0.1
2010/09/01,0.133
2010/09/02,0.075
2010/09/03,0.165
2010/09/04,0.133
2010/09/05,0.24
2010/09/06,0.231
2010/09/07,0.216
2010/09/08,-0.031
2010/09/09,0.005
2010/09/10,-0.194
2010/09/11,-0.107
2010/09/12,-0.133
2010/09/13,-0.223
2010/09/14,-0.266
2010/09/15,-0.456
2010/09/16,-0.487
2010/09/17,0.132
2010/09/18,0.198
2010/09/19,0.291
2010/09/20,0.379
2010/09/21,0.329
2010/09/22,0.277
2010/09/23,0.445
2010/09/24,0.581
2010/09/25,0.703
2010/09/26,0.724
2010/09/27,1.172
2010/09/28,2.394
2010/09/29,2.441
2010/09/30,2.277
2010/10/01,2.275
2010/10/02,2.833
2010/10/03,2.843
2010/10/04,2.545
2010/10/05,2.541
2010/10/06,2.51
2010/10/07,3.074
2010/10/08,3.336
2010/10/09,3.606
2010/10/10,3.834
2010/10/11,3.774
2010/10/12,3.701
2010/10/13,3.994
2010/10/14,4.247
2010/10/15,4.212
2010/10/16,4.289
2010/10/17,3.734
2010/10/18,3.864
2010/10/19,3.526
2010/10/20,3.53
2010/10/21,3.544
2010/10/22,3.642
2010/10/23,3.44
2010/10/24,3.363
2010/10/25,3.245
2010/10/26,3.322
2010/10/27,3.053
2010/10/28,1.85
2010/10/29,1.74
2010/10/30,1.773
2010/10/31,1.891
2010/11/01,1.336
2010/11/02,1.366
2010/11/03,1.584
2010/11/04,1.511
2010/11/05,1.621
2010/11/06,1.167
2010/11/07,0.887
2010/11/08,1.334
2010/11/09,1.067
2010/11/10,1.003
2010/11/11,0.943
2010/11/12,0.78
2010/11/13,0.483
2010/11/14,0.66
2010/11/15,0.427
2010/11/16,0.36
2010/11/17,0.258
2010/11/18,0.393
2010/11/19,0.301
2010/11/20,0.443
2010/11/21,0.397
2010/11/22,0.376
2010/11/23,0.476
2010/11/24,0.584
2010/11/25,0.493
2010/11/26,0.403
2010/11/27,0.441
2010/11/28,0.554
2010/11/29,0.551
2010/11/30,0.608
2010/12/01,0.805
2010/12/02,1.023
2010/12/03,1.324
2010/12/04,1.381
2010/12/05,1.362
2010/12/06,1.058
2010/12/07,1.082
2010/12/08,0.398
2010/12/09,0.374
2010/12/10,0.589
2010/12/11,0.673
2010/12/12,0.643
2010/12/13,1.055
2010/12/14,0.913
2010/12/15,0.902
2010/12/16,0.889
2010/12/17,0.8
2010/12/18,0.822
2010/12/19,0.693
2010/12/20,0.62
2010/12/21,0.377
2010/12/22,0.441
2010/12/23,0.326
2010/12/24,0.177
2010/12/25,0.137
2010/12/26,0.086
2010/12/27,0.248
2010/12/28,0.189
2010/12/29,0.019
2010/12/30,-0.193
2010/12/31,-0.508
2011/01/01,-0.802
2011/01/02,-1.091
2011/01/03,-1.142
2011/01/04,-1.206
2011/01/05,-0.927
2011/01/06,-0.928
2011/01/07,-0.973
2011/01/08,-0.899
2011/01/09,-0.931
2011/01/10,-1.086
2011/01/11,-0.925
2011/01/12,-1.263
2011/01/13,-1.132
2011/01/14,-1.041
2011/01/15,-1.034
2011/01/16,-0.926
2011/01/17,-0.855
2011/01/18,-0.775
2011/01/19,-0.93
2011/01/20,-0.666
2011/01/21,-0.716
2011/01/22,-0.697
2011/01/23,-0.449
2011/01/24,-0.522
2011/01/25,-0.523
2011/01/26,-0.798
2011/01/27,2.121
2011/01/28,2.303
2011/01/29,2.347
2011/01/30,2.428
2011/01/31,2.403
2011/02/01,2.565
2011/02/02,2.405
2011/02/03,2.492
2011/02/04,2.382
2011/02/05,2.479
2011/02/06,2.385
2011/02/07,2.557
2011/02/08,2.422
2011/02/09,2.66
2011/02/10,2.5
2011/02/11,2.458
2011/02/12,2.318
2011/02/13,2.254
2011/02/14,2.238
2011/02/15,2.156
2011/02/16,2.064
2011/02/17,2.097
2011/02/18,2.106
2011/02/19,2.071
2011/02/20,2.165
2011/02/21,2.119
2011/02/22,1.759
2011/02/23,1.775
2011/02/24,1.748
2011/02/25,1.853
2011/02/26,-1.027
2011/02/27,-0.499
2011/02/28,-0.694
2011/03/01,-0.444
2011/03/02,-2.896
2011/03/03,-3.113
2011/03/04,-3.075
2011/03/05,-3.096
2011/03/06,-3.016
2011/03/07,-3.082
2011/03/08,-2.993
2011/03/09,-3.204
2011/03/10,-3.232
2011/03/11,-3.503
2011/03/12,-3.576
2011/03/13,-3.541
2011/03/14,-3.392
2011/03/15,-3.414
2011/03/16,-3.297
2011/03/17,-3.241
2011/03/18,-3.125
2011/03/19,-3.103
2011/03/20,-3.042
2011/03/21,-2.957
2011/03/22,-3.166
2011/03/23,-3.053
2011/03/24,-2.978
2011/03/25,-2.997
2011/03/26,-2.918
2011/03/27,-2.992
2011/03/28,-3.006
2011/03/29,-3.517
2011/03/30,-3.406
2011/03/31,-3.678
2011/04/01,-1.19
2011/04/02,-1.282
2011/04/03,-1.203
2011/04/04,-1.318
2011/04/05,-1.367
2011/04/06,-1.329
2011/04/07,-1.282
2011/04/08,-1.274
2011/04/09,-1.268
2011/04/10,-1.127
2011/04/11,-0.992
2011/04/12,-1.054
2011/04/13,-1.178
2011/04/14,-0.651
2011/04/15,-0.754
2011/04/16,-0.873
2011/04/17,-1.22
2011/04/18,-1.293
2011/04/19,0.001
2011/04/20,-0.12
2011/04/21,-0.306
2011/04/22,-0.414
2011/04/23,-0.684
2011/04/24,-0.755
2011/04/25,-0.776
2011/04/26,-0.702
2011/04/27,-0.653
2011/04/28,-0.81
