Date,mediantransactionvalue90emaUSD
2011/05/18,39.372
2011/05/19,40.138
2011/05/20,42.53
2011/05/21,45.697
2011/05/22,47.514
2011/05/23,48.732
2011/05/24,50.813
2011/05/25,52.773
2011/05/26,54.875
2011/05/27,56.898
2011/05/28,58.98
2011/05/29,61.121
2011/05/30,63.358
2011/05/31,65.162
2011/06/01,67.354
2011/06/02,69.316
2011/06/03,72.675
2011/06/04,77.71
2011/06/05,84.381
2011/06/06,89.499
2011/06/07,96.796
2011/06/08,104.49
2011/06/09,114.014
2011/06/10,123.128
2011/06/11,133.381
2011/06/12,138.642
2011/06/13,145.527
2011/06/14,153.988
2011/06/15,160.206
2011/06/16,167.912
2011/06/17,171.331
2011/06/18,172.069
2011/06/19,175.839
2011/06/20,179.8
2011/06/21,181.74
2011/06/22,184.938
2011/06/23,186.854
2011/06/24,190.542
2011/06/25,191.408
2011/06/26,192.374
2011/06/27,191.929
2011/06/28,192.429
2011/06/29,194.08
2011/06/30,195.602
2011/07/01,194.484
2011/07/02,196.457
2011/07/03,196.532
2011/07/04,197.057
2011/07/05,197.37
2011/07/06,196.664
2011/07/07,196.416
2011/07/08,195.88
2011/07/09,195.989
2011/07/10,196.023
2011/07/11,194.978
2011/07/12,194.458
2011/07/13,194.267
2011/07/14,194.048
2011/07/15,194.655
2011/07/16,193.624
2011/07/17,192.892
2011/07/18,193.715
2011/07/19,193.924
2011/07/20,193.904
2011/07/21,193.803
2011/07/22,194.066
2011/07/23,194.365
2011/07/24,194.614
2011/07/25,194.84
2011/07/26,195.208
2011/07/27,197.262
2011/07/28,200.351
2011/07/29,200.605
2011/07/30,202.138
2011/07/31,202.299
2011/08/01,202.719
2011/08/02,202.053
2011/08/03,202.3
2011/08/04,200.228
2011/08/05,199.001
2011/08/06,197.219
2011/08/07,195.571
2011/08/08,194.35
2011/08/09,192.866
2011/08/10,191.681
2011/08/11,190.278
2011/08/12,188.905
2011/08/13,186.909
2011/08/14,185.508
2011/08/15,183.124
2011/08/16,180.717
2011/08/17,179.285
2011/08/18,178.4
2011/08/19,177.165
2011/08/20,176.421
2011/08/21,175.111
2011/08/22,174.847
2011/08/23,174.373
2011/08/24,173.663
2011/08/25,173.001
2011/08/26,172.442
2011/08/27,171.906
2011/08/28,171.133
2011/08/29,169.356
2011/08/30,168.18
2011/08/31,167.861
2011/09/01,167.353
2011/09/02,166.779
2011/09/03,166.626
2011/09/04,164.975
2011/09/05,164.564
2011/09/06,164.917
2011/09/07,163.611
2011/09/08,162.361
2011/09/09,161.321
2011/09/10,159.63
2011/09/11,157.875
2011/09/12,156.514
2011/09/13,155.418
2011/09/14,154.684
2011/09/15,153.584
2011/09/16,152.334
2011/09/17,151.239
2011/09/18,150.102
2011/09/19,148.314
2011/09/20,145.945
2011/09/21,144.028
2011/09/22,142.688
2011/09/23,142.198
2011/09/24,141.599
2011/09/25,140.229
2011/09/26,138.931
2011/09/27,138.028
2011/09/28,136.591
2011/09/29,135.745
2011/09/30,134.89
2011/10/01,134.026
2011/10/02,133.336
2011/10/03,132.007
2011/10/04,131.511
2011/10/05,131.049
2011/10/06,130.313
2011/10/07,129.901
2011/10/08,128.992
2011/10/09,128.03
2011/10/10,126.739
2011/10/11,125.227
2011/10/12,124.098
2011/10/13,122.796
2011/10/14,121.915
2011/10/15,120.941
2011/10/16,119.949
2011/10/17,118.653
2011/10/18,117.136
2011/10/19,115.47
2011/10/20,113.924
2011/10/21,112.542
2011/10/22,111.445
2011/10/23,110.329
2011/10/24,109.275
2011/10/25,108.025
2011/10/26,106.71
2011/10/27,105.564
2011/10/28,104.613
2011/10/29,103.798
2011/10/30,102.678
2011/10/31,101.456
2011/11/01,100.559
2011/11/02,99.756
2011/11/03,98.814
2011/11/04,97.987
2011/11/05,97.135
2011/11/06,96.304
2011/11/07,95.499
2011/11/08,94.751
2011/11/09,93.789
2011/11/10,92.727
2011/11/11,91.99
2011/11/12,91.408
2011/11/13,90.357
2011/11/14,89.518
2011/11/15,88.6
2011/11/16,87.761
2011/11/17,87.314
2011/11/18,86.344
