Date,sentbyaddress
2011/06/18,19874
2011/06/19,20705
2011/06/20,19542
2011/06/21,18066
2011/06/22,20420
2011/06/23,18557
2011/06/24,19140
2011/06/25,17412
2011/06/26,17364
2011/06/27,21468
2011/06/28,19446
2011/06/29,17806
2011/06/30,17404
2011/07/01,17795
2011/07/02,14481
2011/07/03,15409
2011/07/04,17250
2011/07/05,16717
2011/07/06,18553
2011/07/07,15613
2011/07/08,15642
2011/07/09,13901
2011/07/10,14423
2011/07/11,17720
2011/07/12,14775
2011/07/13,16562
2011/07/14,16231
2011/07/15,14448
2011/07/16,15656
2011/07/17,14622
2011/07/18,15905
2011/07/19,15895
2011/07/20,15764
2011/07/21,14491
2011/07/22,15911
2011/07/23,13661
2011/07/24,14533
2011/07/25,16542
2011/07/26,15114
2011/07/27,14680
2011/07/28,15007
2011/07/29,13678
2011/07/30,11424
2011/07/31,14784
2011/08/01,14686
2011/08/02,15819
2011/08/03,13650
2011/08/04,14258
2011/08/05,13405
2011/08/06,11841
2011/08/07,12295
2011/08/08,13052
2011/08/09,16183
2011/08/10,15098
2011/08/11,13872
2011/08/12,12820
2011/08/13,13683
2011/08/14,13986
2011/08/15,14601
2011/08/16,16144
2011/08/17,13453
2011/08/18,13879
2011/08/19,13414
2011/08/20,12986
2011/08/21,13501
2011/08/22,14114
2011/08/23,13195
2011/08/24,13202
2011/08/25,12928
2011/08/26,13065
2011/08/27,11723
2011/08/28,10448
2011/08/29,13536
2011/08/30,13859
2011/08/31,13322
2011/09/01,12889
2011/09/02,12588
2011/09/03,11237
2011/09/04,13084
2011/09/05,12749
2011/09/06,14460
2011/09/07,12886
2011/09/08,11978
2011/09/09,13047
2011/09/10,11283
2011/09/11,11895
2011/09/12,12228
2011/09/13,11535
2011/09/14,11236
2011/09/15,11851
2011/09/16,11006
2011/09/17,10084
2011/09/18,11112
2011/09/19,11878
2011/09/20,13256
2011/09/21,12742
2011/09/22,10797
2011/09/23,11003
2011/09/24,10296
2011/09/25,9894
2011/09/26,10158
2011/09/27,10660
2011/09/28,10714
2011/09/29,9991
2011/09/30,10401
2011/10/01,9693
2011/10/02,9118
2011/10/03,11030
2011/10/04,10134
2011/10/05,10583
2011/10/06,10742
2011/10/07,10470
2011/10/08,9534
2011/10/09,9613
2011/10/10,10356
2011/10/11,10628
2011/10/12,10455
2011/10/13,8976
2011/10/14,10644
2011/10/15,10103
2011/10/16,8878
2011/10/17,10344
2011/10/18,8873
2011/10/19,9172
2011/10/20,8370
2011/10/21,9185
2011/10/22,9134
2011/10/23,9868
2011/10/24,10436
2011/10/25,9751
2011/10/26,9290
2011/10/27,8449
2011/10/28,9021
2011/10/29,9809
2011/10/30,8623
2011/10/31,9248
2011/11/01,9740
2011/11/02,9978
2011/11/03,9985
2011/11/04,11522
2011/11/05,10204
2011/11/06,8910
2011/11/07,9396
2011/11/08,10430
2011/11/09,11068
2011/11/10,11091
2011/11/11,9024
2011/11/12,9213
2011/11/13,9246
2011/11/14,10212
2011/11/15,10624
2011/11/16,10088
2011/11/17,8890
2011/11/18,9376
2011/11/19,7410
2011/11/20,7778
2011/11/21,7330
2011/11/22,8175
2011/11/23,8144
2011/11/24,7587
2011/11/25,8338
2011/11/26,7328
2011/11/27,7772
2011/11/28,9223
2011/11/29,10407
2011/11/30,10312
2011/12/01,9833
2011/12/02,9707
2011/12/03,8760
2011/12/04,8451
2011/12/05,9365
2011/12/06,11511
2011/12/07,9172
2011/12/08,8782
2011/12/09,8634
2011/12/10,8733
2011/12/11,8108
2011/12/12,7834
2011/12/13,8036
2011/12/14,8681
2011/12/15,7212
2011/12/16,7644
2011/12/17,7475
2011/12/18,7387
2011/12/19,9229
2011/12/20,9641
2011/12/21,8440
2011/12/22,8874
2011/12/23,8824
2011/12/24,7285
2011/12/25,8374
2011/12/26,8721
2011/12/27,8234
2011/12/28,7725
2011/12/29,8254
2011/12/30,7684
2011/12/31,7607
2012/01/01,7852
2012/01/02,8281
2012/01/03,8853
2012/01/04,8793
2012/01/05,10809
2012/01/06,10244
2012/01/07,9173
2012/01/08,9837
2012/01/09,9500
2012/01/10,10318
2012/01/11,10893
2012/01/12,9864
2012/01/13,10357
2012/01/14,10513
2012/01/15,9503
2012/01/16,10642
2012/01/17,10321
2012/01/18,10350
2012/01/19,10446
2012/01/20,10217
2012/01/21,9599
2012/01/22,8097
2012/01/23,9611
2012/01/24,10693
2012/01/25,11977
2012/01/26,10121
2012/01/27,9845
2012/01/28,9364
2012/01/29,9838
2012/01/30,9780
2012/01/31,10999
2012/02/01,10532
2012/02/02,11480
2012/02/03,11423
2012/02/04,11203
2012/02/05,10610
2012/02/06,9807
2012/02/07,10614
2012/02/08,10803
2012/02/09,11280
2012/02/10,11899
2012/02/11,10910
2012/02/12,10428
2012/02/13,11910
2012/02/14,13529
2012/02/15,13146
2012/02/16,13367
2012/02/17,10091
2012/02/18,10396
2012/02/19,9311
2012/02/20,10132
2012/02/21,10159
2012/02/22,11385
2012/02/23,12408
2012/02/24,11211
2012/02/25,10194
2012/02/26,9508
2012/02/27,10748
2012/02/28,11318
2012/02/29,11071
2012/03/01,11155
2012/03/02,12164
2012/03/03,8778
2012/03/04,11133
2012/03/05,11606
2012/03/06,10741
2012/03/07,11052
2012/03/08,11366
2012/03/09,11072
2012/03/10,9235
2012/03/11,9136
2012/03/12,10456
2012/03/13,12011
2012/03/14,11251
2012/03/15,10305
2012/03/16,10997
2012/03/17,11271
2012/03/18,9637
2012/03/19,10692
2012/03/20,11202
2012/03/21,11502
2012/03/22,11146
2012/03/23,9838
2012/03/24,10125
2012/03/25,9735
2012/03/26,10753
2012/03/27,10859
2012/03/28,11576
2012/03/29,11956
2012/03/30,10810
2012/03/31,10094
2012/04/01,8970
2012/04/02,10343
2012/04/03,12355
2012/04/04,11465
2012/04/05,10948
2012/04/06,10791
2012/04/07,9818
2012/04/08,9771
2012/04/09,10545
2012/04/10,12469
2012/04/11,12977
2012/04/12,13075
2012/04/13,11096
2012/04/14,12436
2012/04/15,11311
2012/04/16,13536
2012/04/17,12608
2012/04/18,13598
2012/04/19,12428
2012/04/20,13573
2012/04/21,11520
2012/04/22,10502
2012/04/23,11746
2012/04/24,12324
2012/04/25,12494
2012/04/26,13977
2012/04/27,11853
2012/04/28,11405
2012/04/29,11527
2012/04/30,14299
2012/05/01,14553
2012/05/02,14566
2012/05/03,16548
2012/05/04,16649
2012/05/05,15209
2012/05/06,14108
2012/05/07,19154
2012/05/08,18495
2012/05/09,19191
2012/05/10,15167
2012/05/11,19997
2012/05/12,17929
2012/05/13,15870
2012/05/14,26661
2012/05/15,21437
2012/05/16,19189
2012/05/17,17267
2012/05/18,20796
2012/05/19,25731
2012/05/20,23612
2012/05/21,24094
2012/05/22,21176
2012/05/23,22842
2012/05/24,22032
2012/05/25,23287
2012/05/26,19745
2012/05/27,20596
2012/05/28,23036
2012/05/29,25114
2012/05/30,21867
2012/05/31,21525
2012/06/01,22376
2012/06/02,15042
2012/06/03,24997
2012/06/04,32333
2012/06/05,33196
2012/06/06,17917
2012/06/07,25783
2012/06/08,20884
2012/06/09,23960
2012/06/10,27083
2012/06/11,24777
2012/06/12,16681
2012/06/13,37090
2012/06/14,38487
2012/06/15,36669
2012/06/16,31177
2012/06/17,31232
2012/06/18,30256
2012/06/19,26755
2012/06/20,24132
2012/06/21,22118
2012/06/22,21852
2012/06/23,21698
2012/06/24,21246
2012/06/25,25470
2012/06/26,27701
2012/06/27,29442
2012/06/28,24933
2012/06/29,25102
2012/06/30,24241
2012/07/01,22207
2012/07/02,27772
2012/07/03,25404
2012/07/04,23084
2012/07/05,20810
2012/07/06,21639
2012/07/07,24718
2012/07/08,20529
2012/07/09,24309
2012/07/10,29296
2012/07/11,26688
2012/07/12,25740
2012/07/13,22999
2012/07/14,22830
2012/07/15,23229
2012/07/16,29004
2012/07/17,31395
2012/07/18,26215
2012/07/19,26149
2012/07/20,28863
2012/07/21,28155
2012/07/22,31011
2012/07/23,32066
2012/07/24,27119
2012/07/25,24061
2012/07/26,23759
2012/07/27,24987
2012/07/28,29924
2012/07/29,26428
2012/07/30,27861
2012/07/31,43816
2012/08/01,30523
2012/08/02,31485
2012/08/03,27751
2012/08/04,26597
2012/08/05,28611
2012/08/06,33055
2012/08/07,30889
2012/08/08,37702
2012/08/09,28901
2012/08/10,29006
2012/08/11,28861
2012/08/12,30113
2012/08/13,37723
2012/08/14,31402
2012/08/15,35705
2012/08/16,45691
2012/08/17,42095
2012/08/18,38177
2012/08/19,33016
2012/08/20,32166
2012/08/21,39541
2012/08/22,36515
2012/08/23,33146
2012/08/24,33271
2012/08/25,27652
2012/08/26,25957
2012/08/27,29166
2012/08/28,29154
2012/08/29,30590
2012/08/30,27009
2012/08/31,37303
2012/09/01,34839
2012/09/02,27135
2012/09/03,26053
2012/09/04,31432
2012/09/05,33019
2012/09/06,35912
2012/09/07,31449
2012/09/08,26018
2012/09/09,30064
2012/09/10,28681
2012/09/11,34324
2012/09/12,26609
2012/09/13,25833
2012/09/14,29028
2012/09/15,23252
2012/09/16,23539
2012/09/17,24269
2012/09/18,30217
2012/09/19,30912
2012/09/20,33531
2012/09/21,26113
2012/09/22,19941
2012/09/23,21356
2012/09/24,24795
2012/09/25,31673
2012/09/26,34028
2012/09/27,29565
2012/09/28,33638
2012/09/29,25398
2012/09/30,21919
2012/10/01,25045
2012/10/02,35394
2012/10/03,29803
2012/10/04,33352
2012/10/05,32523
2012/10/06,28433
2012/10/07,29782
2012/10/08,34345
2012/10/09,34138
2012/10/10,31981
2012/10/11,28851
2012/10/12,29514
2012/10/13,27496
2012/10/14,26230
2012/10/15,31580
2012/10/16,28900
2012/10/17,30378
2012/10/18,31531
2012/10/19,26796
2012/10/20,29209
2012/10/21,28016
2012/10/22,30090
2012/10/23,27591
2012/10/24,28855
2012/10/25,26980
2012/10/26,26199
2012/10/27,20651
2012/10/28,19877
2012/10/29,21024
2012/10/30,25916
2012/10/31,24528
2012/11/01,22226
2012/11/02,23749
2012/11/03,22492
2012/11/04,21319
2012/11/05,25094
2012/11/06,27498
2012/11/07,30218
2012/11/08,25844
2012/11/09,25396
2012/11/10,22110
2012/11/11,21075
2012/11/12,22062
2012/11/13,23803
2012/11/14,26813
2012/11/15,33237
2012/11/16,34261
2012/11/17,31322
2012/11/18,31137
2012/11/19,30818
2012/11/20,31757
2012/11/21,30783
2012/11/22,29418
2012/11/23,23334
2012/11/24,25103
2012/11/25,24869
2012/11/26,28584
2012/11/27,26860
2012/11/28,30125
2012/11/29,28172
2012/11/30,25173
2012/12/01,23836
2012/12/02,18802
2012/12/03,20962
2012/12/04,27074
2012/12/05,29533
2012/12/06,28974
2012/12/07,28329
2012/12/08,27956
2012/12/09,26728
2012/12/10,24179
2012/12/11,27182
2012/12/12,29476
2012/12/13,32754
2012/12/14,30273
2012/12/15,25837
2012/12/16,26563
2012/12/17,31411
2012/12/18,36850
2012/12/19,31840
2012/12/20,27606
2012/12/21,33023
2012/12/22,41350
2012/12/23,27263
2012/12/24,26534
2012/12/25,22407
2012/12/26,22708
2012/12/27,25730
2012/12/28,31175
2012/12/29,26835
2012/12/30,34689
2012/12/31,25345
2013/01/01,26174
2013/01/02,31809
2013/01/03,38197
2013/01/04,34990
2013/01/05,38008
2013/01/06,30021
2013/01/07,36724
2013/01/08,36179
2013/01/09,38443
2013/01/10,42349
2013/01/11,45401
2013/01/12,34944
2013/01/13,38777
2013/01/14,31757
2013/01/15,42374
2013/01/16,43595
2013/01/17,40671
2013/01/18,40809
2013/01/19,35285
2013/01/20,32911
2013/01/21,31310
2013/01/22,36118
2013/01/23,34646
2013/01/24,37855
2013/01/25,37028
2013/01/26,38921
2013/01/27,38878
2013/01/28,37570
2013/01/29,38413
2013/01/30,32080
2013/01/31,34905
2013/02/01,46691
2013/02/02,40201
2013/02/03,40531
2013/02/04,39326
2013/02/05,45083
2013/02/06,38796
2013/02/07,42246
2013/02/08,42502
2013/02/09,38859
2013/02/10,41834
2013/02/11,37215
2013/02/12,38370
2013/02/13,37950
2013/02/14,35874
2013/02/15,36167
2013/02/16,32649
2013/02/17,33554
2013/02/18,35640
2013/02/19,36589
2013/02/20,36651
2013/02/21,38285
2013/02/22,40643
2013/02/23,38854
2013/02/24,39305
2013/02/25,40722
2013/02/26,42317
2013/02/27,38654
2013/02/28,40736
2013/03/01,44701
2013/03/02,33208
2013/03/03,31196
2013/03/04,36840
2013/03/05,40287
2013/03/06,46619
2013/03/07,44636
2013/03/08,39682
2013/03/09,34959
2013/03/10,39546
2013/03/11,35631
2013/03/12,39230
2013/03/13,44388
2013/03/14,41545
2013/03/15,45573
2013/03/16,33429
2013/03/17,34225
2013/03/18,40769
2013/03/19,46397
2013/03/20,42658
2013/03/21,45019
2013/03/22,50706
2013/03/23,42959
2013/03/24,49371
2013/03/25,45267
2013/03/26,48642
2013/03/27,50705
2013/03/28,56271
2013/03/29,57457
2013/03/30,51724
2013/03/31,39483
2013/04/01,48809
2013/04/02,62276
2013/04/03,69174
2013/04/04,71753
2013/04/05,69310
2013/04/06,52062
2013/04/07,51482
2013/04/08,66793
2013/04/09,74640
2013/04/10,83776
2013/04/11,76320
2013/04/12,65468
2013/04/13,54832
2013/04/14,44917
2013/04/15,58998
2013/04/16,67120
2013/04/17,61384
2013/04/18,54496
2013/04/19,67336
2013/04/20,49315
2013/04/21,45972
2013/04/22,54023
2013/04/23,63399
2013/04/24,63368
2013/04/25,62666
2013/04/26,58408
2013/04/27,46192
2013/04/28,45294
2013/04/29,54430
2013/04/30,44309
2013/05/01,54108
2013/05/02,52328
2013/05/03,49175
2013/05/04,41555
2013/05/05,43934
2013/05/06,50032
2013/05/07,57940
2013/05/08,55702
2013/05/09,56865
2013/05/10,56144
2013/05/11,54054
2013/05/12,46321
2013/05/13,52214
2013/05/14,55907
2013/05/15,56094
2013/05/16,55166
2013/05/17,50663
2013/05/18,44609
2013/05/19,41739
2013/05/20,46665
2013/05/21,54799
2013/05/22,49734
2013/05/23,57375
2013/05/24,55062
2013/05/25,43271
2013/05/26,40521
2013/05/27,45900
2013/05/28,50624
2013/05/29,54008
2013/05/30,51861
2013/05/31,51248
2013/06/01,45028
2013/06/02,41308
2013/06/03,50085
2013/06/04,52194
2013/06/05,48878
2013/06/06,50622
2013/06/07,51368
2013/06/08,38891
2013/06/09,37114
2013/06/10,42173
2013/06/11,45422
2013/06/12,43353
2013/06/13,46238
2013/06/14,55817
2013/06/15,37365
2013/06/16,34036
2013/06/17,41101
2013/06/18,44895
2013/06/19,48670
2013/06/20,47024
2013/06/21,49127
2013/06/22,40010
2013/06/23,34369
2013/06/24,44699
2013/06/25,43677
2013/06/26,45178
2013/06/27,43460
2013/06/28,49794
2013/06/29,38965
2013/06/30,34295
2013/07/01,48203
2013/07/02,45002
2013/07/03,46663
2013/07/04,42076
2013/07/05,42636
2013/07/06,34993
2013/07/07,30829
2013/07/08,45211
2013/07/09,47657
2013/07/10,46482
2013/07/11,54944
2013/07/12,60243
2013/07/13,42899
2013/07/14,31966
2013/07/15,41558
2013/07/16,48335
2013/07/17,45703
2013/07/18,45106
2013/07/19,43518
2013/07/20,32982
2013/07/21,35799
2013/07/22,43280
