Date,transactions90std
2010/07/17,1216
2010/07/18,1216
2010/07/19,1216
2010/07/20,1217
2010/07/21,1217
2010/07/22,1216
2010/07/23,1216
2010/07/24,1221
2010/07/25,1256
2010/07/26,1255
2010/07/27,1255
2010/07/28,1298
2010/07/29,1333
2010/07/30,1333
2010/07/31,1332
2010/08/01,1332
2010/08/02,1331
2010/08/03,1331
2010/08/04,1330
2010/08/05,1329
2010/08/06,1328
2010/08/07,1328
2010/08/08,1327
2010/08/09,1326
2010/08/10,1325
2010/08/11,1325
2010/08/12,1324
2010/08/13,1323
2010/08/14,1322
2010/08/15,1322
2010/08/16,1321
2010/08/17,1320
2010/08/18,1319
2010/08/19,1318
2010/08/20,1317
2010/08/21,1317
2010/08/22,1317
2010/08/23,1316
2010/08/24,1315
2010/08/25,1315
2010/08/26,1314
2010/08/27,1314
2010/08/28,1313
2010/08/29,1313
2010/08/30,1312
2010/08/31,1311
2010/09/01,1310
2010/09/02,1309
2010/09/03,1309
2010/09/04,1308
2010/09/05,1308
2010/09/06,1307
2010/09/07,1307
2010/09/08,1306
2010/09/09,1306
2010/09/10,1305
2010/09/11,1304
2010/09/12,1304
2010/09/13,1303
2010/09/14,1302
2010/09/15,1301
2010/09/16,1300
2010/09/17,1299
2010/09/18,1298
2010/09/19,1298
2010/09/20,1297
2010/09/21,1298
2010/09/22,1297
2010/09/23,1296
2010/09/24,1294
2010/09/25,1293
2010/09/26,1292
2010/09/27,1291
2010/09/28,1290
2010/09/29,1292
2010/09/30,1291
2010/10/01,1290
2010/10/02,1289
2010/10/03,1287
2010/10/04,1286
2010/10/05,1284
2010/10/06,1283
2010/10/07,1282
2010/10/08,1281
2010/10/09,1280
2010/10/10,1252
2010/10/11,1250
2010/10/12,588.469
2010/10/13,582.326
2010/10/14,577.048
2010/10/15,577.622
2010/10/16,577.949
2010/10/17,578.066
2010/10/18,577.471
2010/10/19,583.211
2010/10/20,584.103
2010/10/21,584.169
2010/10/22,578.443
2010/10/23,507.84
2010/10/24,508.002
2010/10/25,508.175
2010/10/26,392.726
2010/10/27,250.029
2010/10/28,249.264
2010/10/29,247.273
2010/10/30,246.455
2010/10/31,246.961
2010/11/01,244.431
2010/11/02,245.772
2010/11/03,246.045
2010/11/04,246.814
2010/11/05,245.558
2010/11/06,245.712
2010/11/07,245.777
2010/11/08,245.07
2010/11/09,244.946
2010/11/10,244.761
2010/11/11,244.74
2010/11/12,245.404
2010/11/13,245.138
2010/11/14,245.213
2010/11/15,961.609
2010/11/16,2048
2010/11/17,2048
2010/11/18,2055
2010/11/19,2802
2010/11/20,3391
2010/11/21,3910
2010/11/22,3910
2010/11/23,3910
2010/11/24,3960
2010/11/25,4047
2010/11/26,4045
2010/11/27,4044
2010/11/28,4044
2010/11/29,4044
2010/11/30,4044
2010/12/01,4043
2010/12/02,4042
2010/12/03,4041
2010/12/04,4041
2010/12/05,4040
2010/12/06,4039
2010/12/07,4038
2010/12/08,4038
2010/12/09,4037
2010/12/10,4037
2010/12/11,4036
2010/12/12,4035
2010/12/13,4033
2010/12/14,4032
2010/12/15,4031
2010/12/16,4029
2010/12/17,4029
2010/12/18,4027
2010/12/19,4027
2010/12/20,4026
2010/12/21,4027
2010/12/22,4026
2010/12/23,4026
2010/12/24,4025
2010/12/25,4024
2010/12/26,4024
2010/12/27,4023
2010/12/28,4024
2010/12/29,4023
2010/12/30,4023
2010/12/31,4023
2011/01/01,4022
2011/01/02,4021
2011/01/03,4019
2011/01/04,4017
2011/01/05,4015
2011/01/06,4013
2011/01/07,4010
2011/01/08,4008
2011/01/09,4005
2011/01/10,4003
2011/01/11,4000
2011/01/12,3997
2011/01/13,3993
2011/01/14,3990
2011/01/15,3987
2011/01/16,3985
2011/01/17,3985
2011/01/18,3984
2011/01/19,3982
2011/01/20,3981
2011/01/21,3978
2011/01/22,3976
2011/01/23,3973
2011/01/24,3970
2011/01/25,3968
2011/01/26,3965
2011/01/27,3962
2011/01/28,3958
2011/01/29,3953
2011/01/30,3959
2011/01/31,3954
2011/02/01,3949
2011/02/02,3945
2011/02/03,3942
2011/02/04,3937
2011/02/05,3934
2011/02/06,3930
2011/02/07,3926
2011/02/08,3923
2011/02/09,3917
2011/02/10,3914
2011/02/11,3913
2011/02/12,3908
2011/02/13,3840
2011/02/14,3476
2011/02/15,3476
2011/02/16,3479
2011/02/17,3001
2011/02/18,2395
2011/02/19,1467
2011/02/20,1472
2011/02/21,1476
2011/02/22,1366
2011/02/23,1112
2011/02/24,1132
2011/02/25,1144
2011/02/26,1149
2011/02/27,1165
2011/02/28,1165
2011/03/01,1210
2011/03/02,1216
2011/03/03,1279
2011/03/04,1278
2011/03/05,1275
2011/03/06,1273
2011/03/07,1271
2011/03/08,1285
2011/03/09,1279
2011/03/10,1269
2011/03/11,1266
2011/03/12,1307
2011/03/13,1333
2011/03/14,1355
2011/03/15,1383
2011/03/16,1422
2011/03/17,1466
2011/03/18,1466
2011/03/19,1498
2011/03/20,1589
2011/03/21,1818
2011/03/22,1813
2011/03/23,1901
2011/03/24,1890
2011/03/25,1877
2011/03/26,1895
2011/03/27,1884
2011/03/28,1886
2011/03/29,1877
2011/03/30,1860
