Date,confirmationtime14rsi
2010/07/17,54.467
2010/07/18,54.588
2010/07/19,54.278
2010/07/20,53.194
2010/07/21,49.848
2010/07/22,53.695
2010/07/23,51.081
2010/07/24,51.735
2010/07/25,46.962
2010/07/26,45.947
2010/07/27,55.245
2010/07/28,56.368
2010/07/29,52.447
2010/07/30,52.122
2010/07/31,49.074
2010/08/01,45.347
2010/08/02,45.089
2010/08/03,46.804
2010/08/04,45.189
2010/08/05,48.313
2010/08/06,59.875
2010/08/07,57.673
2010/08/08,49.68
2010/08/09,50.903
2010/08/10,50.749
2010/08/11,45.662
2010/08/12,47.56
2010/08/13,47.826
2010/08/14,41.984
2010/08/15,49.691
2010/08/16,58.821
2010/08/17,62.363
2010/08/18,60.976
2010/08/19,60.286
2010/08/20,48.481
2010/08/21,51.247
2010/08/22,46.476
2010/08/23,46.379
2010/08/24,46.175
2010/08/25,46.067
2010/08/26,46.887
2010/08/27,53.182
2010/08/28,53.37
2010/08/29,55.017
2010/08/30,57.981
2010/08/31,49.634
2010/09/01,54.768
2010/09/02,54.984
2010/09/03,52.901
2010/09/04,49.224
2010/09/05,52.547
2010/09/06,54.166
2010/09/07,53.586
2010/09/08,52.146
2010/09/09,60.312
2010/09/10,48.645
2010/09/11,52.056
2010/09/12,48.581
2010/09/13,49.774
2010/09/14,44.595
2010/09/15,50.552
2010/09/16,43.661
2010/09/17,45.101
2010/09/18,42.266
2010/09/19,45.792
2010/09/20,46.67
2010/09/21,51.932
2010/09/22,51.52
2010/09/23,43.352
2010/09/24,44.08
2010/09/25,46.986
2010/09/26,47.298
2010/09/27,44.252
2010/09/28,46.78
2010/09/29,55.372
2010/09/30,59.232
2010/10/01,56.731
2010/10/02,70.12
2010/10/03,59.861
2010/10/04,52.276
2010/10/05,57.201
2010/10/06,49.069
2010/10/07,50.527
2010/10/08,51.434
2010/10/09,50.757
2010/10/10,47.827
2010/10/11,50.719
2010/10/12,51.421
2010/10/13,47.936
2010/10/14,44.543
2010/10/15,48.325
