Date,mining_profitability14var
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,8443703457
2010/07/31,6356123896
2010/08/01,6190194573
2010/08/02,4544043518
2010/08/03,3613828086
2010/08/04,1467511482
2010/08/05,1538353770
2010/08/06,2356020823
2010/08/07,2313642687
2010/08/08,2054136139
2010/08/09,2018353447
2010/08/10,2018876228
2010/08/11,2072279830
2010/08/12,1919690026
2010/08/13,1770891386
2010/08/14,1237821195
2010/08/15,1385030597
2010/08/16,1465906795
2010/08/17,1549864318
2010/08/18,1089002955
2010/08/19,1082514887
2010/08/20,1052917249
2010/08/21,1166039094
2010/08/22,1134180401
2010/08/23,1148298110
2010/08/24,1041516267
2010/08/25,904025415
2010/08/26,749300980
2010/08/27,750858767
2010/08/28,214184312
2010/08/29,243819128
2010/08/30,274140557
2010/08/31,288867650
2010/09/01,322059015
2010/09/02,328339269
2010/09/03,222265689
2010/09/04,216974273
2010/09/05,163686367
2010/09/06,135115767
2010/09/07,93117144
2010/09/08,61194832
2010/09/09,56583223
2010/09/10,56006742
2010/09/11,67814477
2010/09/12,67636158
2010/09/13,70529222
2010/09/14,57475444
2010/09/15,68738530
2010/09/16,67525734
2010/09/17,71518676
2010/09/18,58446850
2010/09/19,96767850
2010/09/20,120228779
2010/09/21,130637017
2010/09/22,135254119
2010/09/23,133312252
2010/09/24,130847988
2010/09/25,144891137
2010/09/26,139883360
2010/09/27,136206278
2010/09/28,115768745
2010/09/29,179514526
2010/09/30,147087578
2010/10/01,157170211
2010/10/02,146539307
2010/10/03,149494856
2010/10/04,149207965
2010/10/05,161951941
2010/10/06,150198758
2010/10/07,109174678
2010/10/08,97865340
2010/10/09,106401697
2010/10/10,128684140
2010/10/11,120698094
2010/10/12,130214184
2010/10/13,146043479
2010/10/14,181610837
2010/10/15,173697843
2010/10/16,175094130
2010/10/17,165663442
2010/10/18,151462536
2010/10/19,112373015
2010/10/20,97740612
2010/10/21,124117662
