Date,transactions7mom
2010/07/17,193
2010/07/18,74
2010/07/19,-1287
2010/07/20,-374
2010/07/21,-5298
2010/07/22,-485
2010/07/23,-459
2010/07/24,470
2010/07/25,1344
2010/07/26,-130
2010/07/27,-153
2010/07/28,1536
2010/07/29,1466
2010/07/30,-74
2010/07/31,-613
2010/08/01,-1467
2010/08/02,-68
2010/08/03,161
2010/08/04,-1596
2010/08/05,-1390
2010/08/06,69
2010/08/07,26
2010/08/08,67
2010/08/09,78
2010/08/10,-272
2010/08/11,-17
2010/08/12,-122
2010/08/13,89
2010/08/14,35
2010/08/15,-84
2010/08/16,72
2010/08/17,40
2010/08/18,65
2010/08/19,15
2010/08/20,-71
2010/08/21,16
2010/08/22,46
2010/08/23,-150
2010/08/24,-25
2010/08/25,-95
2010/08/26,-32
2010/08/27,-107
2010/08/28,0
2010/08/29,-56
2010/08/30,24
2010/08/31,93
2010/09/01,74
2010/09/02,7
2010/09/03,32
2010/09/04,-76
2010/09/05,48
2010/09/06,-60
2010/09/07,-135
2010/09/08,-49
2010/09/09,24
2010/09/10,28
2010/09/11,52
2010/09/12,56
2010/09/13,145
2010/09/14,99
2010/09/15,87
2010/09/16,30
2010/09/17,-30
2010/09/18,17
2010/09/19,-56
2010/09/20,-3
2010/09/21,417
2010/09/22,238
2010/09/23,202
2010/09/24,120
2010/09/25,163
2010/09/26,49
2010/09/27,112
2010/09/28,-359
2010/09/29,312
2010/09/30,-202
2010/10/01,157
2010/10/02,76
2010/10/03,60
2010/10/04,-120
2010/10/05,-34
2010/10/06,-575
2010/10/07,-39
2010/10/08,-221
2010/10/09,-158
2010/10/10,-70
2010/10/11,-71
2010/10/12,-48
2010/10/13,-48
2010/10/14,-18
2010/10/15,-58
2010/10/16,-60
2010/10/17,2
2010/10/18,147
2010/10/19,471
2010/10/20,261
2010/10/21,204
2010/10/22,297
2010/10/23,159
2010/10/24,160
2010/10/25,-123
2010/10/26,-391
2010/10/27,-94
2010/10/28,-99
2010/10/29,-204
2010/10/30,-168
2010/10/31,-219
2010/11/01,-33
2010/11/02,-167
2010/11/03,-198
2010/11/04,-126
2010/11/05,-21
2010/11/06,2
2010/11/07,82
2010/11/08,66
2010/11/09,82
2010/11/10,37
2010/11/11,35
2010/11/12,-106
2010/11/13,-56
2010/11/14,-50
2010/11/15,4431
2010/11/16,8716
2010/11/17,-6
2010/11/18,1061
2010/11/19,9365
2010/11/20,9495
2010/11/21,9744
2010/11/22,-4491
2010/11/23,-8707
2010/11/24,3571
2010/11/25,3565
2010/11/26,-8362
2010/11/27,-9350
2010/11/28,-9622
2010/11/29,65
2010/11/30,51
2010/12/01,-3435
2010/12/02,-4530
2010/12/03,-925
2010/12/04,-76
2010/12/05,-87
2010/12/06,-21
2010/12/07,82
2010/12/08,-39
2010/12/09,-9
2010/12/10,31
2010/12/11,186
2010/12/12,277
2010/12/13,281
2010/12/14,148
2010/12/15,161
2010/12/16,95
2010/12/17,70
2010/12/18,-37
2010/12/19,-105
2010/12/20,268
2010/12/21,-48
2010/12/22,56
2010/12/23,16
2010/12/24,87
2010/12/25,128
2010/12/26,72
2010/12/27,-413
2010/12/28,58
2010/12/29,-154
2010/12/30,50
2010/12/31,10
2011/01/01,12
2011/01/02,-45
2011/01/03,612
2011/01/04,346
2011/01/05,808
2011/01/06,129
2011/01/07,463
2011/01/08,788
2011/01/09,666
2011/01/10,178
2011/01/11,352
2011/01/12,-161
2011/01/13,525
2011/01/14,225
2011/01/15,-461
2011/01/16,-303
2011/01/17,-501
2011/01/18,-513
2011/01/19,-247
2011/01/20,-340
2011/01/21,-89
2011/01/22,452
2011/01/23,154
2011/01/24,482
2011/01/25,56
2011/01/26,77
2011/01/27,-57
2011/01/28,-69
2011/01/29,-71
2011/01/30,1525
2011/01/31,92
2011/02/01,116
2011/02/02,-87
2011/02/03,-52
2011/02/04,-163
2011/02/05,-533
2011/02/06,-1704
2011/02/07,-534
2011/02/08,-171
2011/02/09,297
2011/02/10,1219
2011/02/11,1409
2011/02/12,1063
2011/02/13,892
2011/02/14,1121
2011/02/15,1321
2011/02/16,823
2011/02/17,171
2011/02/18,-325
2011/02/19,-294
2011/02/20,117
2011/02/21,-34
2011/02/22,-14
2011/02/23,162
2011/02/24,-117
2011/02/25,-9
2011/02/26,254
2011/02/27,284
2011/02/28,-206
2011/03/01,614
2011/03/02,-179
2011/03/03,1116
2011/03/04,-74
2011/03/05,95
2011/03/06,-268
2011/03/07,145
2011/03/08,-346
2011/03/09,-167
2011/03/10,-1467
2011/03/11,-7
2011/03/12,1045
2011/03/13,837
2011/03/14,816
2011/03/15,489
2011/03/16,1373
2011/03/17,1675
2011/03/18,497
2011/03/19,258
2011/03/20,1345
2011/03/21,3176
2011/03/22,-623
2011/03/23,1366
2011/03/24,-1214
2011/03/25,-425
2011/03/26,123
2011/03/27,-1619
2011/03/28,-2944
2011/03/29,436
2011/03/30,-2813
2011/03/31,-118
2011/04/01,-423
2011/04/02,-1605
2011/04/03,-690
2011/04/04,-632
2011/04/05,-630
2011/04/06,116
2011/04/07,-364
2011/04/08,198
2011/04/09,-15
2011/04/10,-59
2011/04/11,-351
2011/04/12,-11
2011/04/13,461
2011/04/14,1191
2011/04/15,281
2011/04/16,404
2011/04/17,506
2011/04/18,1107
2011/04/19,1530
2011/04/20,648
2011/04/21,-953
2011/04/22,39
2011/04/23,157
2011/04/24,34
2011/04/25,-487
2011/04/26,-184
2011/04/27,1572
2011/04/28,1103
2011/04/29,1413
2011/04/30,2146
2011/05/01,1659
2011/05/02,498
2011/05/03,-521
2011/05/04,-1794
2011/05/05,374
2011/05/06,-262
2011/05/07,-611
2011/05/08,-1091
2011/05/09,379
2011/05/10,229
2011/05/11,296
2011/05/12,-53
2011/05/13,785
2011/05/14,499
2011/05/15,871
2011/05/16,825
2011/05/17,1239
2011/05/18,2394
2011/05/19,1300
2011/05/20,718
2011/05/21,572
2011/05/22,1480
2011/05/23,1357
2011/05/24,1359
2011/05/25,658
2011/05/26,2179
2011/05/27,111
2011/05/28,114
2011/05/29,-457
2011/05/30,-276
2011/05/31,347
2011/06/01,401
2011/06/02,275
2011/06/03,3553
2011/06/04,3729
2011/06/05,3811
2011/06/06,4287
2011/06/07,2919
2011/06/08,5278
2011/06/09,5008
2011/06/10,2807
2011/06/11,2058
2011/06/12,3823
2011/06/13,1549
2011/06/14,5079
2011/06/15,696
2011/06/16,612
2011/06/17,64
2011/06/18,721
2011/06/19,-958
2011/06/20,-28
2011/06/21,-4460
2011/06/22,-1067
2011/06/23,-2388
2011/06/24,-404
2011/06/25,-1816
2011/06/26,-1413
2011/06/27,591
2011/06/28,1108
2011/06/29,-1429
2011/06/30,-733
2011/07/01,-276
2011/07/02,-1701
2011/07/03,-1637
2011/07/04,-2148
2011/07/05,-1733
2011/07/06,532
2011/07/07,-396
2011/07/08,-2067
2011/07/09,-147
2011/07/10,56
2011/07/11,932
2011/07/12,-820
2011/07/13,-1360
2011/07/14,-477
2011/07/15,-527
2011/07/16,1017
2011/07/17,-46
2011/07/18,-1560
2011/07/19,1037
2011/07/20,-288
2011/07/21,-561
2011/07/22,1004
2011/07/23,-1450
2011/07/24,-156
2011/07/25,514
2011/07/26,-849
2011/07/27,-893
2011/07/28,-47
2011/07/29,-1689
2011/07/30,-1212
2011/07/31,-129
2011/08/01,-1290
2011/08/02,469
2011/08/03,-241
2011/08/04,214
2011/08/05,69
2011/08/06,655
2011/08/07,-1340
2011/08/08,-899
2011/08/09,410
2011/08/10,603
2011/08/11,-719
2011/08/12,-186
2011/08/13,556
2011/08/14,755
2011/08/15,1119
2011/08/16,420
2011/08/17,-597
2011/08/18,-188
2011/08/19,449
2011/08/20,-229
2011/08/21,168
2011/08/22,-604
2011/08/23,-2371
2011/08/24,-353
2011/08/25,-165
2011/08/26,-209
2011/08/27,-800
2011/08/28,-2034
2011/08/29,310
2011/08/30,536
2011/08/31,-96
2011/09/01,-32
2011/09/02,-404
2011/09/03,-459
2011/09/04,1651
2011/09/05,-1073
2011/09/06,21
2011/09/07,-183
2011/09/08,-706
2011/09/09,352
2011/09/10,80
2011/09/11,-806
2011/09/12,-441
2011/09/13,-1302
2011/09/14,-900
2011/09/15,-50
2011/09/16,-1132
2011/09/17,-540
2011/09/18,-490
2011/09/19,84
2011/09/20,1628
2011/09/21,1484
2011/09/22,-327
2011/09/23,105
2011/09/24,279
2011/09/25,-243
2011/09/26,-1021
2011/09/27,-2037
2011/09/28,-1668
2011/09/29,-527
2011/09/30,-452
2011/10/01,-368
2011/10/02,-671
2011/10/03,871
2011/10/04,-271
2011/10/05,-244
2011/10/06,320
2011/10/07,-207
2011/10/08,52
2011/10/09,416
2011/10/10,-617
2011/10/11,140
2011/10/12,203
2011/10/13,-897
2011/10/14,436
2011/10/15,162
2011/10/16,-468
2011/10/17,-96
2011/10/18,-1094
2011/10/19,-832
2011/10/20,-353
2011/10/21,-887
2011/10/22,-429
2011/10/23,638
2011/10/24,144
2011/10/25,354
2011/10/26,158
2011/10/27,43
2011/10/28,-72
2011/10/29,467
2011/10/30,-631
2011/10/31,-756
2011/11/01,530
2011/11/02,682
2011/11/03,1551
2011/11/04,1380
2011/11/05,299
2011/11/06,21
2011/11/07,313
2011/11/08,218
2011/11/09,450
2011/11/10,272
2011/11/11,-1419
2011/11/12,-798
2011/11/13,340
2011/11/14,401
2011/11/15,96
2011/11/16,-374
2011/11/17,-1580
2011/11/18,62
2011/11/19,-383
2011/11/20,-248
2011/11/21,-1113
2011/11/22,-590
2011/11/23,-449
2011/11/24,85
2011/11/25,315
2011/11/26,31
2011/11/27,-35
2011/11/28,1151
2011/11/29,925
2011/11/30,1231
2011/12/01,1265
2011/12/02,821
2011/12/03,847
2011/12/04,302
2011/12/05,276
2011/12/06,1531
2011/12/07,-698
2011/12/08,-514
2011/12/09,-731
2011/12/10,55
2011/12/11,-140
2011/12/12,-1344
2011/12/13,-2533
2011/12/14,-458
2011/12/15,-918
2011/12/16,-395
2011/12/17,-691
2011/12/18,-621
2011/12/19,950
2011/12/20,887
2011/12/21,-111
2011/12/22,973
2011/12/23,494
2011/12/24,-330
2011/12/25,624
2011/12/26,-221
2011/12/27,-1095
2011/12/28,-583
2011/12/29,-637
2011/12/30,-631
2011/12/31,473
2012/01/01,-264
2012/01/02,-205
2012/01/03,548
2012/01/04,737
2012/01/05,1773
2012/01/06,1564
2012/01/07,735
2012/01/08,1393
2012/01/09,689
2012/01/10,922
2012/01/11,1404
2012/01/12,-306
2012/01/13,234
2012/01/14,936
2012/01/15,-68
2012/01/16,851
2012/01/17,59
2012/01/18,-467
2012/01/19,211
2012/01/20,-72
2012/01/21,-455
2012/01/22,-984
2012/01/23,-869
2012/01/24,534
2012/01/25,1294
2012/01/26,-292
2012/01/27,-439
2012/01/28,-437
2012/01/29,1070
2012/01/30,51
2012/01/31,-354
2012/02/01,-1452
2012/02/02,545
2012/02/03,696
2012/02/04,1315
2012/02/05,373
2012/02/06,9
2012/02/07,100
2012/02/08,518
2012/02/09,338
2012/02/10,1426
2012/02/11,449
2012/02/12,240
2012/02/13,1865
2012/02/14,2476
2012/02/15,2324
2012/02/16,2056
2012/02/17,-1692
2012/02/18,-1184
2012/02/19,-1072
2012/02/20,-1656
2012/02/21,-3060
2012/02/22,-2168
2012/02/23,-1551
2012/02/24,155
2012/02/25,-204
2012/02/26,-129
2012/02/27,382
2012/02/28,274
2012/02/29,-495
2012/03/01,-1188
2012/03/02,730
2012/03/03,-1067
2012/03/04,783
2012/03/05,253
2012/03/06,-334
2012/03/07,-59
2012/03/08,-179
2012/03/09,-1177
2012/03/10,131
2012/03/11,-1365
2012/03/12,-859
2012/03/13,1004
2012/03/14,277
2012/03/15,-318
2012/03/16,448
2012/03/17,1501
2012/03/18,790
2012/03/19,534
2012/03/20,-561
2012/03/21,84
2012/03/22,266
2012/03/23,-752
2012/03/24,-515
2012/03/25,176
2012/03/26,-41
2012/03/27,-164
2012/03/28,247
2012/03/29,948
2012/03/30,644
2012/03/31,-169
2012/04/01,-634
2012/04/02,-112
2012/04/03,1096
2012/04/04,-83
2012/04/05,-466
2012/04/06,-111
2012/04/07,-71
2012/04/08,344
2012/04/09,115
2012/04/10,715
2012/04/11,711
2012/04/12,1252
2012/04/13,355
2012/04/14,1937
2012/04/15,1499
2012/04/16,1956
2012/04/17,-651
2012/04/18,733
2012/04/19,-420
2012/04/20,1213
2012/04/21,-841
2012/04/22,-1050
2012/04/23,-1458
2012/04/24,-148
2012/04/25,-1020
2012/04/26,2201
2012/04/27,-1071
2012/04/28,228
2012/04/29,1336
2012/04/30,2265
2012/05/01,2516
2012/05/02,2398
2012/05/03,3901
2012/05/04,6877
2012/05/05,5556
2012/05/06,3436
2012/05/07,8843
2012/05/08,7505
2012/05/09,7251
2012/05/10,-2192
2012/05/11,4981
2012/05/12,5367
2012/05/13,3611
2012/05/14,10133
2012/05/15,4562
2012/05/16,878
2012/05/17,5166
2012/05/18,5418
2012/05/19,17057
2012/05/20,16725
2012/05/21,3268
2012/05/22,1260
2012/05/23,9345
2012/05/24,9645
2012/05/25,4542
2012/05/26,-12118
2012/05/27,-5034
2012/05/28,-1732
2012/05/29,6325
2012/05/30,-1853
2012/05/31,-5589
2012/06/01,-1961
2012/06/02,-10497
2012/06/03,7160
2012/06/04,16037
2012/06/05,14527
2012/06/06,-9665
2012/06/07,12189
2012/06/08,-3161
2012/06/09,20239
2012/06/10,7107
2012/06/11,-13392
2012/06/12,-26130
2012/06/13,40860
2012/06/14,28718
2012/06/15,31071
2012/06/16,10247
2012/06/17,3190
2012/06/18,6505
2012/06/19,17728
2012/06/20,-24543
2012/06/21,-35136
2012/06/22,-31400
2012/06/23,-20987
2012/06/24,-21484
2012/06/25,-10337
2012/06/26,-5729
2012/06/27,-1389
2012/06/28,-261
2012/06/29,-696
2012/06/30,347
2012/07/01,-3127
2012/07/02,-3564
2012/07/03,-7579
2012/07/04,-7698
2012/07/05,-4886
2012/07/06,1030
2012/07/07,2963
2012/07/08,1512
2012/07/09,-29
2012/07/10,12423
2012/07/11,8102
2012/07/12,2654
2012/07/13,632
2012/07/14,-2823
2012/07/15,5559
2012/07/16,6263
2012/07/17,99
2012/07/18,1317
2012/07/19,6747
2012/07/20,12253
2012/07/21,11826
2012/07/22,8500
2012/07/23,1328
2012/07/24,-6821
2012/07/25,-5266
2012/07/26,-362
2012/07/27,-9669
2012/07/28,625
2012/07/29,-388
2012/07/30,1662
2012/07/31,13169
2012/08/01,3237
2012/08/02,2508
2012/08/03,641
2012/08/04,-6223
2012/08/05,-1173
2012/08/06,1041
2012/08/07,-11938
2012/08/08,9598
2012/08/09,-3274
2012/08/10,601
2012/08/11,4117
2012/08/12,1333
2012/08/13,13452
2012/08/14,4910
2012/08/15,12800
2012/08/16,16551
2012/08/17,12197
2012/08/18,4040
2012/08/19,2292
2012/08/20,-13049
2012/08/21,7893
2012/08/22,-15084
2012/08/23,-14670
2012/08/24,-8289
2012/08/25,-3710
2012/08/26,-7428
2012/08/27,-2712
2012/08/28,-12555
2012/08/29,-3677
2012/08/30,2107
2012/08/31,8357
2012/09/01,7312
2012/09/02,4083
2012/09/03,5130
2012/09/04,10106
2012/09/05,6914
2012/09/06,8859
2012/09/07,-7169
2012/09/08,-9585
2012/09/09,-2119
2012/09/10,-4599
2012/09/11,-1713
2012/09/12,-13014
2012/09/13,-13724
2012/09/14,2641
2012/09/15,-3924
2012/09/16,-3051
2012/09/17,-9204
2012/09/18,-5426
2012/09/19,4149
2012/09/20,2235
2012/09/21,-5778
2012/09/22,-5247
2012/09/23,-413
2012/09/24,4759
2012/09/25,-8616
2012/09/26,183
2012/09/27,-2944
2012/09/28,2432
2012/09/29,1967
2012/09/30,-7332
2012/10/01,-4441
2012/10/02,8694
2012/10/03,-5737
2012/10/04,4298
2012/10/05,3625
2012/10/06,8693
2012/10/07,14092
2012/10/08,13437
2012/10/09,2576
2012/10/10,4541
2012/10/11,-4938
2012/10/12,-7691
2012/10/13,425
2012/10/14,-7314
2012/10/15,-7204
2012/10/16,-930
2012/10/17,594
2012/10/18,554
2012/10/19,-3326
2012/10/20,-2658
2012/10/21,13385
2012/10/22,12168
2012/10/23,-2477
2012/10/24,361
2012/10/25,-1245
2012/10/26,-3456
2012/10/27,-14146
2012/10/28,-22873
2012/10/29,-21655
2012/10/30,-1297
2012/10/31,-4421
2012/11/01,-3354
2012/11/02,7085
2012/11/03,7615
2012/11/04,6348
2012/11/05,10682
2012/11/06,1247
2012/11/07,8712
2012/11/08,8760
2012/11/09,-3842
2012/11/10,3212
2012/11/11,-739
2012/11/12,-8253
2012/11/13,-4860
2012/11/14,-6565
2012/11/15,5207
2012/11/16,14296
2012/11/17,5433
2012/11/18,10582
2012/11/19,13006
2012/11/20,9720
2012/11/21,9156
2012/11/22,-6712
2012/11/23,-7117
2012/11/24,-2831
2012/11/25,2600
2012/11/26,-1036
2012/11/27,-9227
2012/11/28,-1830
2012/11/29,6501
2012/11/30,-2551
2012/12/01,3758
2012/12/02,-16127
2012/12/03,-14229
2012/12/04,4760
2012/12/05,-3462
2012/12/06,-231
2012/12/07,2383
2012/12/08,-289
2012/12/09,11470
2012/12/10,14566
2012/12/11,4391
2012/12/12,2984
2012/12/13,5358
2012/12/14,6892
2012/12/15,-787
2012/12/16,3432
2012/12/17,4828
2012/12/18,13052
2012/12/19,8017
2012/12/20,-6568
2012/12/21,5546
2012/12/22,18856
2012/12/23,1251
2012/12/24,-4927
2012/12/25,-21068
2012/12/26,-8191
2012/12/27,7815
2012/12/28,2482
2012/12/29,-13139
2012/12/30,8665
2012/12/31,-6073
2013/01/01,3115
2013/01/02,2848
2013/01/03,-1484
2013/01/04,1500
2013/01/05,1489
2013/01/06,-12400
2013/01/07,10214
2013/01/08,6757
2013/01/09,3780
2013/01/10,10245
2013/01/11,4196
2013/01/12,6094
2013/01/13,16427
2013/01/14,4283
2013/01/15,6410
2013/01/16,10438
2013/01/17,-4403
2013/01/18,-3614
2013/01/19,10467
2013/01/20,-8067
2013/01/21,-4094
2013/01/22,-1293
2013/01/23,-6946
2013/01/24,-1924
2013/01/25,-644
2013/01/26,-3806
2013/01/27,14021
2013/01/28,11724
2013/01/29,7937
2013/01/30,-5486
2013/01/31,5375
2013/02/01,10861
2013/02/02,2102
2013/02/03,5716
2013/02/04,2808
2013/02/05,1708
2013/02/06,1343
2013/02/07,9643
2013/02/08,1535
2013/02/09,3295
2013/02/10,-4696
2013/02/11,2594
2013/02/12,5159
2013/02/13,16510
2013/02/14,-10306
2013/02/15,-5302
2013/02/16,-6363
2013/02/17,-6835
2013/02/18,-7222
2013/02/19,-4052
2013/02/20,636
2013/02/21,4963
2013/02/22,6533
2013/02/23,6478
2013/02/24,7561
2013/02/25,16727
2013/02/26,8912
2013/02/27,1201
2013/02/28,7113
2013/03/01,2382
2013/03/02,-2042
2013/03/03,-2710
2013/03/04,-3075
2013/03/05,-6543
2013/03/06,1849
2013/03/07,3757
2013/03/08,-8686
2013/03/09,-303
2013/03/10,19363
2013/03/11,-4740
2013/03/12,-8380
2013/03/13,-6072
2013/03/14,-8720
2013/03/15,6907
2013/03/16,-21365
2013/03/17,-38522
2013/03/18,-15830
2013/03/19,-2411
2013/03/20,-10468
2013/03/21,-2544
2013/03/22,-2249
2013/03/23,18685
2013/03/24,16007
2013/03/25,5554
2013/03/26,2972
2013/03/27,7011
2013/03/28,5460
2013/03/29,1730
2013/03/30,6326
2013/03/31,-7329
2013/04/01,3723
2013/04/02,14185
2013/04/03,10690
2013/04/04,5932
2013/04/05,-870
2013/04/06,-7468
2013/04/07,19560
2013/04/08,8953
2013/04/09,3708
2013/04/10,-76
2013/04/11,1509
