Date,transactionvalue7rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,49.718
2010/07/25,44.493
2010/07/26,67.484
2010/07/27,51.354
2010/07/28,46.046
2010/07/29,42.883
2010/07/30,52.315
2010/07/31,50.523
2010/08/01,86.381
2010/08/02,50.279
2010/08/03,46.433
2010/08/04,47.076
2010/08/05,47.209
2010/08/06,45.844
2010/08/07,48.537
2010/08/08,44.177
2010/08/09,56.269
2010/08/10,50.026
2010/08/11,51.938
2010/08/12,44.762
2010/08/13,47.279
2010/08/14,44.505
2010/08/15,46.503
2010/08/16,57.002
2010/08/17,58.26
2010/08/18,50.335
2010/08/19,45.385
2010/08/20,46.32
2010/08/21,53.018
2010/08/22,44.357
2010/08/23,43.272
2010/08/24,44.727
2010/08/25,42.64
2010/08/26,41.543
2010/08/27,55.428
2010/08/28,45.135
2010/08/29,42.112
2010/08/30,44.598
2010/08/31,55.541
2010/09/01,51.772
2010/09/02,58.841
2010/09/03,54.095
2010/09/04,58.194
2010/09/05,86.072
2010/09/06,61.686
2010/09/07,43.79
2010/09/08,42.932
2010/09/09,47.98
2010/09/10,42.53
2010/09/11,42.094
2010/09/12,44.06
2010/09/13,64.707
2010/09/14,46.672
2010/09/15,48.416
2010/09/16,47.261
2010/09/17,58.133
2010/09/18,48.946
2010/09/19,52.404
2010/09/20,47.079
2010/09/21,42.028
2010/09/22,45.973
2010/09/23,58.944
2010/09/24,43.934
2010/09/25,45.771
2010/09/26,45.754
2010/09/27,45.666
2010/09/28,58.983
2010/09/29,49.973
2010/09/30,52.092
2010/10/01,50.092
2010/10/02,83.32
2010/10/03,50.393
2010/10/04,75.363
2010/10/05,52.897
2010/10/06,48.485
2010/10/07,50.562
2010/10/08,53.583
2010/10/09,56.818
2010/10/10,51.839
2010/10/11,44.56
2010/10/12,47.785
2010/10/13,53.05
2010/10/14,61.7
2010/10/15,58.869
2010/10/16,58.427
2010/10/17,44.829
2010/10/18,53.492
2010/10/19,47.3
2010/10/20,47.019
2010/10/21,51.862
2010/10/22,43.536
