Date,sentbyaddress14wma
2010/07/17,1399
2010/07/18,1317
2010/07/19,1251
2010/07/20,1192
2010/07/21,1102
2010/07/22,1007
2010/07/23,908.686
2010/07/24,840.457
2010/07/25,920.952
2010/07/26,803.171
2010/07/27,707.448
2010/07/28,611.171
2010/07/29,572.733
2010/07/30,532.448
2010/07/31,495.857
2010/08/01,469.543
2010/08/02,444.648
2010/08/03,456.629
2010/08/04,451.486
2010/08/05,456.638
2010/08/06,437.2
2010/08/07,401.571
2010/08/08,388.686
2010/08/09,396.524
2010/08/10,384.971
2010/08/11,382.962
2010/08/12,379.571
2010/08/13,399.781
2010/08/14,394.543
2010/08/15,371.229
2010/08/16,378.648
2010/08/17,367.781
2010/08/18,368.476
2010/08/19,358.448
2010/08/20,361.933
2010/08/21,358.2
2010/08/22,352.571
2010/08/23,351.276
2010/08/24,348.705
2010/08/25,346.048
2010/08/26,340.419
2010/08/27,327.029
2010/08/28,324
2010/08/29,312.057
2010/08/30,309.971
2010/08/31,318.619
2010/09/01,323.695
2010/09/02,314.848
2010/09/03,313.867
2010/09/04,303.819
2010/09/05,301.829
2010/09/06,295.305
2010/09/07,287.657
2010/09/08,289.01
2010/09/09,291.6
2010/09/10,294.067
2010/09/11,291.705
2010/09/12,302.038
2010/09/13,322.314
2010/09/14,332.048
2010/09/15,347.371
2010/09/16,353.143
2010/09/17,352.057
2010/09/18,353.467
2010/09/19,350.362
2010/09/20,366.714
2010/09/21,439.981
2010/09/22,491.419
2010/09/23,522.457
2010/09/24,532.429
2010/09/25,544.724
2010/09/26,530.857
2010/09/27,551.79
2010/09/28,541.562
2010/09/29,595.343
2010/09/30,573.6
2010/10/01,582.762
2010/10/02,582.19
2010/10/03,565.362
2010/10/04,547.295
2010/10/05,528.981
2010/10/06,512.371
2010/10/07,487.333
2010/10/08,471.305
2010/10/09,462.99
2010/10/10,449.981
2010/10/11,433.686
2010/10/12,423.229
2010/10/13,414.686
2010/10/14,408.276
2010/10/15,399.657
2010/10/16,404.4
2010/10/17,413.352
2010/10/18,444.076
2010/10/19,535.543
2010/10/20,584.6
2010/10/21,602.714
2010/10/22,627.514
2010/10/23,637.019
2010/10/24,645.895
2010/10/25,630.714
2010/10/26,635.743
2010/10/27,648.638
2010/10/28,645.2
2010/10/29,626.61
2010/10/30,596.59
2010/10/31,551.333
2010/11/01,514.981
2010/11/02,470.99
2010/11/03,445.371
