Date,transactions14var
2010/07/17,1986564
2010/07/18,1970780
2010/07/19,1949191
2010/07/20,1919873
2010/07/21,1902247
2010/07/22,1888183
2010/07/23,1873914
2010/07/24,1829084
2010/07/25,1821357
2010/07/26,1819066
2010/07/27,1843778
2010/07/28,245235
2010/07/29,328935
2010/07/30,344602
2010/07/31,353337
2010/08/01,360280
2010/08/02,369194
2010/08/03,369027
2010/08/04,371902
2010/08/05,368612
2010/08/06,368862
2010/08/07,379928
2010/08/08,296028
2010/08/09,295751
2010/08/10,299156
2010/08/11,154488
2010/08/12,6544
2010/08/13,7092
2010/08/14,6368
2010/08/15,6589
2010/08/16,6999
2010/08/17,3815
2010/08/18,3936
2010/08/19,3275
2010/08/20,3336
2010/08/21,2928
2010/08/22,3074
2010/08/23,3084
2010/08/24,3004
2010/08/25,3129
2010/08/26,3189
2010/08/27,2488
2010/08/28,2448
2010/08/29,2556
2010/08/30,1314
2010/08/31,1811
2010/09/01,1631
2010/09/02,1611
2010/09/03,1353
2010/09/04,1700
2010/09/05,1712
2010/09/06,1817
2010/09/07,1893
2010/09/08,1916
2010/09/09,1989
2010/09/10,1926
2010/09/11,1942
2010/09/12,1727
2010/09/13,2351
2010/09/14,2011
2010/09/15,2385
2010/09/16,2507
2010/09/17,2513
2010/09/18,1991
2010/09/19,1991
2010/09/20,2050
2010/09/21,14466
2010/09/22,18871
2010/09/23,20313
2010/09/24,19735
2010/09/25,18509
2010/09/26,18600
2010/09/27,19021
2010/09/28,18620
2010/09/29,35580
2010/09/30,35580
2010/10/01,33278
2010/10/02,30321
2010/10/03,27517
2010/10/04,27661
2010/10/05,23637
2010/10/06,22844
2010/10/07,23804
2010/10/08,24504
2010/10/09,24835
2010/10/10,25005
2010/10/11,25641
2010/10/12,26275
2010/10/13,5573
2010/10/14,5997
2010/10/15,3610
2010/10/16,1145
2010/10/17,966.883
2010/10/18,1934
2010/10/19,16180
2010/10/20,19193
2010/10/21,19600
2010/10/22,21498
2010/10/23,21605
2010/10/24,20950
2010/10/25,20587
2010/10/26,19814
2010/10/27,18813
2010/10/28,17183
2010/10/29,15419
2010/10/30,15618
2010/10/31,17079
2010/11/01,18664
2010/11/02,11382
2010/11/03,9892
2010/11/04,9742
2010/11/05,6439
2010/11/06,5485
2010/11/07,4105
2010/11/08,4196
2010/11/09,3806
2010/11/10,1945
2010/11/11,1466
2010/11/12,1399
2010/11/13,1579
2010/11/14,1462
