Date,difficulty90wma
2010/07/17,23.608
2010/07/18,27.189
2010/07/19,30.727
2010/07/20,34.223
2010/07/21,37.676
2010/07/22,41.088
2010/07/23,44.458
2010/07/24,47.787
2010/07/25,51.074
2010/07/26,54.32
2010/07/27,58.794
2010/07/28,63.319
2010/07/29,67.789
2010/07/30,72.201
2010/07/31,76.556
2010/08/01,80.855
2010/08/02,85.096
2010/08/03,89.282
2010/08/04,93.41
2010/08/05,97.809
2010/08/06,104.193
2010/08/07,110.495
2010/08/08,116.713
2010/08/09,122.849
2010/08/10,128.902
2010/08/11,134.872
2010/08/12,140.76
2010/08/13,146.564
2010/08/14,152.286
2010/08/15,158.755
2010/08/16,167.809
2010/08/17,176.742
2010/08/18,185.553
2010/08/19,194.242
2010/08/20,202.808
2010/08/21,211.253
2010/08/22,219.575
2010/08/23,227.776
2010/08/24,235.854
2010/08/25,243.81
2010/08/26,251.749
2010/08/27,261.913
2010/08/28,271.928
2010/08/29,281.795
2010/08/30,291.514
2010/08/31,301.084
2010/09/01,310.506
2010/09/02,319.781
2010/09/03,328.906
2010/09/04,337.884
2010/09/05,346.714
2010/09/06,355.395
2010/09/07,363.928
2010/09/08,373.923
2010/09/09,384.109
2010/09/10,394.125
2010/09/11,403.971
2010/09/12,413.647
2010/09/13,423.154
2010/09/14,432.49
2010/09/15,441.657
2010/09/16,450.654
2010/09/17,459.481
2010/09/18,468.138
2010/09/19,480.591
2010/09/20,493.369
2010/09/21,505.927
2010/09/22,518.265
2010/09/23,530.383
2010/09/24,542.282
2010/09/25,553.962
2010/09/26,565.422
2010/09/27,576.663
2010/09/28,589.014
2010/09/29,608.611
2010/09/30,627.89
2010/10/01,646.853
2010/10/02,665.498
2010/10/03,683.825
2010/10/04,701.836
2010/10/05,719.53
2010/10/06,736.908
2010/10/07,753.969
2010/10/08,770.715
2010/10/09,787.143
2010/10/10,803.256
2010/10/11,819.053
2010/10/12,835.512
2010/10/13,851.978
2010/10/14,868.118
2010/10/15,883.937
2010/10/16,899.464
2010/10/17,914.699
2010/10/18,929.641
2010/10/19,944.292
2010/10/20,958.65
2010/10/21,985.561
2010/10/22,1016
2010/10/23,1046
2010/10/24,1076
2010/10/25,1105
2010/10/26,1134
2010/10/27,1162
2010/10/28,1190
2010/10/29,1217
2010/10/30,1244
2010/10/31,1292
2010/11/01,1338
2010/11/02,1384
2010/11/03,1429
2010/11/04,1473
2010/11/05,1516
2010/11/06,1559
2010/11/07,1602
2010/11/08,1643
2010/11/09,1697
2010/11/10,1769
2010/11/11,1840
2010/11/12,1909
2010/11/13,1978
2010/11/14,2046
2010/11/15,2113
2010/11/16,2179
2010/11/17,2243
2010/11/18,2316
2010/11/19,2430
2010/11/20,2542
2010/11/21,2653
2010/11/22,2762
2010/11/23,2870
2010/11/24,2976
2010/11/25,3081
