Date,transactionvalue30rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,236.011
2010/08/17,70.779
2010/08/18,-10.746
2010/08/19,7.217
2010/08/20,0.852
2010/08/21,15.202
2010/08/22,28.804
2010/08/23,10.969
2010/08/24,164.329
2010/08/25,-71.022
2010/08/26,-42.59
2010/08/27,205.82
2010/08/28,378.624
2010/08/29,-48.183
2010/08/30,-21.584
2010/08/31,-87.528
2010/09/01,-51.686
2010/09/02,79.564
2010/09/03,24.763
2010/09/04,43.579
2010/09/05,750.652
2010/09/06,204.797
2010/09/07,150.231
2010/09/08,-73.396
2010/09/09,-6.257
2010/09/10,-71.425
2010/09/11,-23.904
2010/09/12,-31.976
2010/09/13,574.665
2010/09/14,24.695
2010/09/15,-41.949
2010/09/16,-54.115
2010/09/17,82.732
2010/09/18,55.268
2010/09/19,92.595
2010/09/20,-25.598
2010/09/21,-41.132
2010/09/22,31.08
2010/09/23,232.567
2010/09/24,-16.093
2010/09/25,40.239
2010/09/26,-44.627
2010/09/27,8.593
2010/09/28,383.74
2010/09/29,119.24
2010/09/30,24.747
2010/10/01,30.777
2010/10/02,565.147
2010/10/03,115.859
2010/10/04,1135
2010/10/05,17.161
2010/10/06,9.782
2010/10/07,515.035
2010/10/08,913.67
2010/10/09,535.166
2010/10/10,1179
2010/10/11,609.247
2010/10/12,591.935
2010/10/13,85.29
2010/10/14,1030
2010/10/15,702.444
2010/10/16,824.114
2010/10/17,93.665
2010/10/18,488.239
2010/10/19,218.101
2010/10/20,402.096
2010/10/21,1502
2010/10/22,447.5
2010/10/23,-25.903
2010/10/24,782.23
2010/10/25,1062
