Date,top100cap30ema
2011/05/03,29.002
2011/05/04,29.035
2011/05/05,29.062
2011/05/06,29.07
2011/05/07,29.079
2011/05/08,29.078
2011/05/09,29.074
2011/05/10,29.07
2011/05/11,29.087
2011/05/12,29.113
2011/05/13,29.158
2011/05/14,29.202
2011/05/15,29.267
2011/05/16,29.334
2011/05/17,29.392
2011/05/18,29.456
2011/05/19,29.508
2011/05/20,29.548
2011/05/21,29.638
2011/05/22,29.719
2011/05/23,29.773
2011/05/24,29.818
2011/05/25,29.856
2011/05/26,29.887
2011/05/27,29.924
2011/05/28,29.958
2011/05/29,29.992
2011/05/30,30.025
2011/05/31,30.054
2011/06/01,30.081
2011/06/02,30.113
2011/06/03,30.149
2011/06/04,30.177
2011/06/05,30.208
2011/06/06,30.218
2011/06/07,30.217
2011/06/08,30.169
2011/06/09,30.119
2011/06/10,30.057
2011/06/11,30.007
2011/06/12,30.089
2011/06/13,30.176
2011/06/14,30.21
2011/06/15,30.233
2011/06/16,30.238
2011/06/17,30.228
2011/06/18,30.213
2011/06/19,30.246
2011/06/20,30.273
2011/06/21,30.293
2011/06/22,30.307
2011/06/23,30.362
2011/06/24,30.404
2011/06/25,30.426
2011/06/26,30.436
2011/06/27,30.464
2011/06/28,30.472
2011/06/29,30.461
2011/06/30,30.435
2011/07/01,30.415
2011/07/02,30.392
2011/07/03,30.367
2011/07/04,30.339
2011/07/05,30.317
2011/07/06,30.294
2011/07/07,30.272
2011/07/08,30.247
2011/07/09,30.221
2011/07/10,30.19
2011/07/11,30.16
2011/07/12,30.128
2011/07/13,30.094
2011/07/14,30.06
2011/07/15,30.026
2011/07/16,29.991
2011/07/17,29.956
2011/07/18,29.939
2011/07/19,29.918
2011/07/20,29.895
2011/07/21,29.869
2011/07/22,29.84
2011/07/23,29.811
2011/07/24,29.782
2011/07/25,29.751
2011/07/26,29.718
2011/07/27,29.681
2011/07/28,29.637
2011/07/29,29.594
2011/07/30,29.551
2011/07/31,29.503
2011/08/01,29.447
2011/08/02,29.394
2011/08/03,29.342
2011/08/04,29.304
2011/08/05,29.263
2011/08/06,29.249
2011/08/07,29.242
2011/08/08,29.254
