Date,difficulty90roc
2010/07/17,2222
2010/07/18,2222
2010/07/19,2222
2010/07/20,2173
2010/07/21,1484
2010/07/22,1484
2010/07/23,1484
2010/07/24,1484
2010/07/25,1484
2010/07/26,1484
2010/07/27,1987
2010/07/28,2030
2010/07/29,2030
2010/07/30,2030
2010/07/31,2030
2010/08/01,2030
2010/08/02,1894
2010/08/03,1801
2010/08/04,1801
2010/08/05,1916
2010/08/06,2641
2010/08/07,2641
2010/08/08,2641
2010/08/09,2641
2010/08/10,2641
2010/08/11,2641
2010/08/12,2641
2010/08/13,2641
2010/08/14,2641
2010/08/15,2935
2010/08/16,3883
2010/08/17,4024
2010/08/18,4220
2010/08/19,4220
2010/08/20,4220
2010/08/21,4220
2010/08/22,4220
2010/08/23,4220
2010/08/24,4220
2010/08/25,4220
2010/08/26,4261
2010/08/27,4542
2010/08/28,3651
2010/08/29,3651
2010/08/30,3651
2010/08/31,3651
2010/09/01,3651
2010/09/02,3651
2010/09/03,3651
2010/09/04,3651
2010/09/05,3651
2010/09/06,3651
2010/09/07,3651
2010/09/08,4092
2010/09/09,4188
2010/09/10,4001
2010/09/11,4001
2010/09/12,4001
2010/09/13,4001
2010/09/14,4001
2010/09/15,4001
2010/09/16,4001
2010/09/17,4001
2010/09/18,4001
2010/09/19,5039
2010/09/20,5181
2010/09/21,5181
2010/09/22,4918
2010/09/23,4630
2010/09/24,4630
2010/09/25,4630
2010/09/26,4630
2010/09/27,4630
2010/09/28,4942
2010/09/29,6696
2010/09/30,6696
2010/10/01,6696
2010/10/02,6696
2010/10/03,6696
2010/10/04,5599
2010/10/05,5511
2010/10/06,5511
2010/10/07,5511
2010/10/08,5511
2010/10/09,5511
2010/10/10,5511
2010/10/11,3639
2010/10/12,2903
2010/10/13,2936
2010/10/14,2109
2010/10/15,659.063
2010/10/16,659.063
2010/10/17,659.063
2010/10/18,659.063
2010/10/19,659.063
2010/10/20,659.063
2010/10/21,981.004
2010/10/22,1084
2010/10/23,1084
2010/10/24,1084
2010/10/25,798.025
2010/10/26,779.978
2010/10/27,779.978
2010/10/28,779.978
2010/10/29,779.978
2010/10/30,795.296
2010/10/31,1166
2010/11/01,1166
2010/11/02,1166
2010/11/03,1093
2010/11/04,777.932
2010/11/05,777.932
2010/11/06,777.932
2010/11/07,777.932
2010/11/08,777.932
2010/11/09,942.396
2010/11/10,1188
2010/11/11,1188
2010/11/12,1188
2010/11/13,1063
2010/11/14,786.399
2010/11/15,786.399
2010/11/16,786.399
2010/11/17,786.399
2010/11/18,860.82
2010/11/19,1242
2010/11/20,1242
2010/11/21,1242
2010/11/22,1242
2010/11/23,1242
2010/11/24,1229
2010/11/25,1002
2010/11/26,1002
2010/11/27,1002
2010/11/28,1002
2010/11/29,1002
2010/11/30,1050
2010/12/01,1196
2010/12/02,1196
2010/12/03,1196
2010/12/04,1196
2010/12/05,1196
2010/12/06,1196
2010/12/07,1060
2010/12/08,1033
2010/12/09,1054
2010/12/10,1619
2010/12/11,1619
2010/12/12,1619
2010/12/13,1619
2010/12/14,1619
2010/12/15,1619
2010/12/16,1619
2010/12/17,1619
2010/12/18,1272
2010/12/19,1235
2010/12/20,1235
2010/12/21,1274
2010/12/22,1478
2010/12/23,1478
2010/12/24,1478
2010/12/25,1478
2010/12/26,1478
2010/12/27,1380
2010/12/28,998.392
2010/12/29,998.392
2010/12/30,998.392
2010/12/31,998.392
2011/01/01,998.392
2011/01/02,998.392
2011/01/03,1107
2011/01/04,1137
2011/01/05,1137
2011/01/06,1137
2011/01/07,1137
2011/01/08,1137
2011/01/09,1137
2011/01/10,1096
2011/01/11,1083
2011/01/12,1083
2011/01/13,1083
2011/01/14,1083
2011/01/15,1148
2011/01/16,1238
2011/01/17,1238
2011/01/18,1238
2011/01/19,839.502
2011/01/20,757.955
2011/01/21,757.955
2011/01/22,757.955
2011/01/23,757.955
2011/01/24,757.955
2011/01/25,757.955
2011/01/26,757.955
2011/01/27,855.681
2011/01/28,906.772
2011/01/29,611.975
2011/01/30,611.975
2011/01/31,611.975
2011/02/01,611.975
2011/02/02,611.975
2011/02/03,611.975
2011/02/04,611.975
2011/02/05,611.975
2011/02/06,611.975
2011/02/07,499.643
2011/02/08,451.137
2011/02/09,473.101
2011/02/10,473.101
2011/02/11,473.101
2011/02/12,473.101
2011/02/13,473.101
2011/02/14,473.101
2011/02/15,473.101
2011/02/16,428.711
2011/02/17,278.597
2011/02/18,396.456
2011/02/19,430.951
2011/02/20,430.951
2011/02/21,430.951
2011/02/22,430.951
2011/02/23,430.951
2011/02/24,430.951
2011/02/25,430.951
2011/02/26,430.951
2011/02/27,553.114
2011/02/28,675.661
2011/03/01,588.143
2011/03/02,588.143
2011/03/03,588.143
2011/03/04,588.143
2011/03/05,588.143
2011/03/06,588.143
2011/03/07,588.143
2011/03/08,588.143
2011/03/09,661.696
2011/03/10,521.879
2011/03/11,521.879
2011/03/12,521.879
2011/03/13,521.879
2011/03/14,521.879
2011/03/15,521.879
2011/03/16,521.879
2011/03/17,521.879
2011/03/18,521.879
2011/03/19,521.879
2011/03/20,521.879
2011/03/21,504.374
2011/03/22,426.041
2011/03/23,426.041
2011/03/24,426.041
2011/03/25,380.548
2011/03/26,376.229
2011/03/27,376.229
2011/03/28,376.229
2011/03/29,376.229
2011/03/30,376.229
2011/03/31,376.229
2011/04/01,376.229
2011/04/02,376.229
2011/04/03,333.549
2011/04/04,322.984
2011/04/05,328.9
2011/04/06,404.958
2011/04/07,404.958
2011/04/08,404.958
2011/04/09,404.958
2011/04/10,404.958
2011/04/11,404.958
2011/04/12,404.958
2011/04/13,404.958
2011/04/14,404.958
2011/04/15,378.672
2011/04/16,346.617
2011/04/17,346.617
2011/04/18,385.103
2011/04/19,400.864
2011/04/20,400.864
2011/04/21,400.864
2011/04/22,400.864
2011/04/23,400.864
2011/04/24,400.864
2011/04/25,400.864
2011/04/26,400.864
2011/04/27,349.647
2011/04/28,319.526
2011/04/29,319.526
2011/04/30,389.06
2011/05/01,398.22
2011/05/02,398.22
2011/05/03,398.22
2011/05/04,398.22
2011/05/05,398.22
2011/05/06,398.22
2011/05/07,398.22
2011/05/08,398.22
2011/05/09,361.827
2011/05/10,505.497
2011/05/11,505.497
2011/05/12,505.497
2011/05/13,505.497
2011/05/14,505.497
2011/05/15,505.497
2011/05/16,505.497
2011/05/17,505.497
2011/05/18,525.181
2011/05/19,616.059
2011/05/20,569.537
2011/05/21,569.537
2011/05/22,569.537
2011/05/23,569.537
2011/05/24,569.537
2011/05/25,569.537
2011/05/26,661.454
2011/05/27,1093
2011/05/28,869.654
2011/05/29,682.3
2011/05/30,682.3
2011/05/31,682.3
2011/06/01,682.3
2011/06/02,682.3
2011/06/03,682.3
2011/06/04,682.3
2011/06/05,682.3
2011/06/06,771.227
2011/06/07,805.143
2011/06/08,644.52
2011/06/09,644.52
2011/06/10,644.52
2011/06/11,644.52
2011/06/12,644.52
2011/06/13,644.52
2011/06/14,644.52
2011/06/15,803.313
2011/06/16,1051
2011/06/17,1051
2011/06/18,1051
2011/06/19,1051
2011/06/20,1051
2011/06/21,1051
2011/06/22,1051
2011/06/23,1160
2011/06/24,1448
2011/06/25,1899
2011/06/26,1899
2011/06/27,1899
